,Title,Type,Release Year,Rating,Seasons,Genres,Vote Average
111,Batman: The Animated Series,SHOW,1992,TV-Y7-FV,4.0,"['family', 'scifi', 'animation', 'action', 'crime', 'drama']",8.489
112,Steven Universe,SHOW,2013,TV-PG,6.0,"['comedy', 'action', 'scifi', 'animation', 'drama', 'fantasy', 'thriller', 'family']",8.468
113,Steven Universe,SHOW,2013,TV-PG,6.0,"['comedy', 'action', 'scifi', 'animation', 'drama', 'fantasy', 'thriller', 'family']",8.468
114,Steven Universe,SHOW,2013,TV-PG,6.0,"['comedy', 'action', 'scifi', 'animation', 'drama', 'fantasy', 'thriller', 'family']",8.468
115,Steven Universe,SHOW,2013,TV-PG,6.0,"['comedy', 'action', 'scifi', 'animation', 'drama', 'fantasy', 'thriller', 'family']",8.468
116,Steven Universe,SHOW,2013,TV-PG,6.0,"['comedy', 'action', 'scifi', 'animation', 'drama', 'fantasy', 'thriller', 'family']",8.468
117,Steven Universe,SHOW,2013,TV-PG,6.0,"['comedy', 'action', 'scifi', 'animation', 'drama', 'fantasy', 'thriller', 'family']",8.468
118,Steven Universe,SHOW,2013,TV-PG,6.0,"['comedy', 'action', 'scifi', 'animation', 'drama', 'fantasy', 'thriller', 'family']",8.468
119,Steven Universe,SHOW,2013,TV-PG,6.0,"['comedy', 'action', 'scifi', 'animation', 'drama', 'fantasy', 'thriller', 'family']",8.468
120,Young Justice,SHOW,2010,TV-14,4.0,"['scifi', 'action', 'fantasy', 'romance', 'drama', 'animation', 'crime']",8.461
121,Young Justice,SHOW,2010,TV-14,4.0,"['scifi', 'action', 'fantasy', 'romance', 'drama', 'animation', 'crime']",8.461
122,Young Justice,SHOW,2010,TV-14,4.0,"['scifi', 'action', 'fantasy', 'romance', 'drama', 'animation', 'crime']",8.461
123,Young Justice,SHOW,2010,TV-14,4.0,"['scifi', 'action', 'fantasy', 'romance', 'drama', 'animation', 'crime']",8.461
124,Young Justice,SHOW,2010,TV-14,4.0,"['scifi', 'action', 'fantasy', 'romance', 'drama', 'animation', 'crime']",8.461
125,Young Justice,SHOW,2010,TV-14,4.0,"['scifi', 'action', 'fantasy', 'romance', 'drama', 'animation', 'crime']",8.461
126,Young Justice,SHOW,2010,TV-14,4.0,"['scifi', 'action', 'fantasy', 'romance', 'drama', 'animation', 'crime']",8.461
127,Tsukimichi -Moonlit Fantasy-,SHOW,2021,TV-14,1.0,"['animation', 'scifi', 'action', 'comedy']",8.461
128,Tsukimichi -Moonlit Fantasy-,SHOW,2021,TV-14,1.0,"['animation', 'scifi', 'action', 'comedy']",8.461
129,Tsukimichi -Moonlit Fantasy-,SHOW,2021,TV-14,1.0,"['animation', 'scifi', 'action', 'comedy']",8.461
