,Title,Type,Release Year,Rating,Seasons,Genres,Vote Average
481,Miss S,SHOW,2020,Unknown,1.0,['drama'],8.0
482,Chappelle's Show,SHOW,2003,TV-14,3.0,"['comedy', 'music']",8.0
483,Chappelle's Show,SHOW,2003,TV-14,3.0,"['comedy', 'music']",8.0
484,His Dark Materials,SHOW,2019,TV-14,3.0,"['scifi', 'drama', 'family', 'fantasy']",7.993
485,His Dark Materials,SHOW,2019,TV-14,3.0,"['scifi', 'drama', 'family', 'fantasy']",7.993
486,His Dark Materials,SHOW,2019,TV-14,3.0,"['scifi', 'drama', 'family', 'fantasy']",7.993
487,His Dark Materials,SHOW,2019,TV-14,3.0,"['scifi', 'drama', 'family', 'fantasy']",7.993
488,Scooby-Doo and Guess Who?,SHOW,2019,TV-PG,3.0,"['comedy', 'thriller', 'animation', 'crime', 'family', 'fantasy']",7.992
489,Scooby-Doo and Guess Who?,SHOW,2019,TV-PG,3.0,"['comedy', 'thriller', 'animation', 'crime', 'family', 'fantasy']",7.992
490,Scooby-Doo and Guess Who?,SHOW,2019,TV-PG,3.0,"['comedy', 'thriller', 'animation', 'crime', 'family', 'fantasy']",7.992
491,Scooby-Doo and Guess Who?,SHOW,2019,TV-PG,3.0,"['comedy', 'thriller', 'animation', 'crime', 'family', 'fantasy']",7.992
492,Scooby-Doo and Guess Who?,SHOW,2019,TV-PG,3.0,"['comedy', 'thriller', 'animation', 'crime', 'family', 'fantasy']",7.992
493,Scooby-Doo and Guess Who?,SHOW,2019,TV-PG,3.0,"['comedy', 'thriller', 'animation', 'crime', 'family', 'fantasy']",7.992
494,Pretty Little Liars: Original Sin,SHOW,2022,TV-MA,1.0,"['drama', 'romance', 'thriller']",7.991
495,Pretty Little Liars: Original Sin,SHOW,2022,TV-MA,1.0,"['drama', 'romance', 'thriller']",7.991
496,Pretty Little Liars: Original Sin,SHOW,2022,TV-MA,1.0,"['drama', 'romance', 'thriller']",7.991
497,Adventure Time: Distant Lands,SHOW,2020,TV-PG,1.0,"['action', 'family', 'fantasy', 'animation', 'comedy', 'thriller', 'scifi']",7.978
498,Adventure Time: Distant Lands,SHOW,2020,TV-PG,1.0,"['action', 'family', 'fantasy', 'animation', 'comedy', 'thriller', 'scifi']",7.978
499,Adventure Time: Distant Lands,SHOW,2020,TV-PG,1.0,"['action', 'family', 'fantasy', 'animation', 'comedy', 'thriller', 'scifi']",7.978
500,Adventure Time: Distant Lands,SHOW,2020,TV-PG,1.0,"['action', 'family', 'fantasy', 'animation', 'comedy', 'thriller', 'scifi']",7.978
501,Adventure Time: Distant Lands,SHOW,2020,TV-PG,1.0,"['action', 'family', 'fantasy', 'animation', 'comedy', 'thriller', 'scifi']",7.978
502,Adventure Time: Distant Lands,SHOW,2020,TV-PG,1.0,"['action', 'family', 'fantasy', 'animation', 'comedy', 'thriller', 'scifi']",7.978
503,Adventure Time: Distant Lands,SHOW,2020,TV-PG,1.0,"['action', 'family', 'fantasy', 'animation', 'comedy', 'thriller', 'scifi']",7.978
504,It's a Sin,SHOW,2021,TV-MA,1.0,"['comedy', 'drama', 'history', 'thriller', 'horror']",7.977
505,It's a Sin,SHOW,2021,TV-MA,1.0,"['comedy', 'drama', 'history', 'thriller', 'horror']",7.977
506,It's a Sin,SHOW,2021,TV-MA,1.0,"['comedy', 'drama', 'history', 'thriller', 'horror']",7.977
507,It's a Sin,SHOW,2021,TV-MA,1.0,"['comedy', 'drama', 'history', 'thriller', 'horror']",7.977
508,It's a Sin,SHOW,2021,TV-MA,1.0,"['comedy', 'drama', 'history', 'thriller', 'horror']",7.977
509,Generation Kill,SHOW,2008,TV-MA,1.0,"['war', 'drama', 'action']",7.969
510,Generation Kill,SHOW,2008,TV-MA,1.0,"['war', 'drama', 'action']",7.969
511,Generation Kill,SHOW,2008,TV-MA,1.0,"['war', 'drama', 'action']",7.969
512,Warrior,SHOW,2019,TV-MA,2.0,"['action', 'crime', 'drama', 'history']",7.961
513,Warrior,SHOW,2019,TV-MA,2.0,"['action', 'crime', 'drama', 'history']",7.961
514,Warrior,SHOW,2019,TV-MA,2.0,"['action', 'crime', 'drama', 'history']",7.961
515,Warrior,SHOW,2019,TV-MA,2.0,"['action', 'crime', 'drama', 'history']",7.961
516,Banshee,SHOW,2013,TV-MA,4.0,"['drama', 'thriller', 'action', 'crime']",7.953
517,Banshee,SHOW,2013,TV-MA,4.0,"['drama', 'thriller', 'action', 'crime']",7.953
518,Banshee,SHOW,2013,TV-MA,4.0,"['drama', 'thriller', 'action', 'crime']",7.953
519,Banshee,SHOW,2013,TV-MA,4.0,"['drama', 'thriller', 'action', 'crime']",7.953
520,Nancy Drew,SHOW,2019,TV-14,4.0,"['drama', 'scifi', 'horror', 'fantasy']",7.946
521,Nancy Drew,SHOW,2019,TV-14,4.0,"['drama', 'scifi', 'horror', 'fantasy']",7.946
522,Nancy Drew,SHOW,2019,TV-14,4.0,"['drama', 'scifi', 'horror', 'fantasy']",7.946
523,Nancy Drew,SHOW,2019,TV-14,4.0,"['drama', 'scifi', 'horror', 'fantasy']",7.946
524,Tokyo Vice,SHOW,2022,TV-MA,1.0,"['drama', 'thriller', 'crime']",7.942
525,Tokyo Vice,SHOW,2022,TV-MA,1.0,"['drama', 'thriller', 'crime']",7.942
526,Tokyo Vice,SHOW,2022,TV-MA,1.0,"['drama', 'thriller', 'crime']",7.942
527,Rizzoli & Isles,SHOW,2010,TV-14,7.0,"['drama', 'crime']",7.932
528,Rizzoli & Isles,SHOW,2010,TV-14,7.0,"['drama', 'crime']",7.932
529,The Night Of,SHOW,2016,TV-MA,1.0,"['thriller', 'drama', 'crime']",7.925
530,The Night Of,SHOW,2016,TV-MA,1.0,"['thriller', 'drama', 'crime']",7.925
531,The Night Of,SHOW,2016,TV-MA,1.0,"['thriller', 'drama', 'crime']",7.925
532,Last Week Tonight with John Oliver,SHOW,2014,TV-MA,10.0,"['comedy', 'reality', 'history']",7.924
533,Last Week Tonight with John Oliver,SHOW,2014,TV-MA,10.0,"['comedy', 'reality', 'history']",7.924
534,Last Week Tonight with John Oliver,SHOW,2014,TV-MA,10.0,"['comedy', 'reality', 'history']",7.924
535,The Knick,SHOW,2014,TV-MA,2.0,"['drama', 'history']",7.923
536,The Knick,SHOW,2014,TV-MA,2.0,"['drama', 'history']",7.923
537,Off the Air,SHOW,2011,TV-MA,12.0,"['scifi', 'animation', 'comedy', 'horror', 'music']",7.917
538,Off the Air,SHOW,2011,TV-MA,12.0,"['scifi', 'animation', 'comedy', 'horror', 'music']",7.917
539,Off the Air,SHOW,2011,TV-MA,12.0,"['scifi', 'animation', 'comedy', 'horror', 'music']",7.917
540,Off the Air,SHOW,2011,TV-MA,12.0,"['scifi', 'animation', 'comedy', 'horror', 'music']",7.917
541,Off the Air,SHOW,2011,TV-MA,12.0,"['scifi', 'animation', 'comedy', 'horror', 'music']",7.917
542,Pushing Daisies,SHOW,2007,TV-PG,2.0,"['scifi', 'comedy', 'drama', 'romance', 'fantasy']",7.91
543,Pushing Daisies,SHOW,2007,TV-PG,2.0,"['scifi', 'comedy', 'drama', 'romance', 'fantasy']",7.91
544,Pushing Daisies,SHOW,2007,TV-PG,2.0,"['scifi', 'comedy', 'drama', 'romance', 'fantasy']",7.91
545,Pushing Daisies,SHOW,2007,TV-PG,2.0,"['scifi', 'comedy', 'drama', 'romance', 'fantasy']",7.91
546,Pushing Daisies,SHOW,2007,TV-PG,2.0,"['scifi', 'comedy', 'drama', 'romance', 'fantasy']",7.91
547,Spawn,SHOW,1997,TV-MA,3.0,"['action', 'animation', 'drama', 'crime', 'scifi', 'thriller', 'horror', 'fantasy', 'romance']",7.9
548,Spawn,SHOW,1997,TV-MA,3.0,"['action', 'animation', 'drama', 'crime', 'scifi', 'thriller', 'horror', 'fantasy', 'romance']",7.9
549,Spawn,SHOW,1997,TV-MA,3.0,"['action', 'animation', 'drama', 'crime', 'scifi', 'thriller', 'horror', 'fantasy', 'romance']",7.9
550,Spawn,SHOW,1997,TV-MA,3.0,"['action', 'animation', 'drama', 'crime', 'scifi', 'thriller', 'horror', 'fantasy', 'romance']",7.9
551,Spawn,SHOW,1997,TV-MA,3.0,"['action', 'animation', 'drama', 'crime', 'scifi', 'thriller', 'horror', 'fantasy', 'romance']",7.9
552,Spawn,SHOW,1997,TV-MA,3.0,"['action', 'animation', 'drama', 'crime', 'scifi', 'thriller', 'horror', 'fantasy', 'romance']",7.9
553,Spawn,SHOW,1997,TV-MA,3.0,"['action', 'animation', 'drama', 'crime', 'scifi', 'thriller', 'horror', 'fantasy', 'romance']",7.9
554,Spawn,SHOW,1997,TV-MA,3.0,"['action', 'animation', 'drama', 'crime', 'scifi', 'thriller', 'horror', 'fantasy', 'romance']",7.9
555,Spawn,SHOW,1997,TV-MA,3.0,"['action', 'animation', 'drama', 'crime', 'scifi', 'thriller', 'horror', 'fantasy', 'romance']",7.9
556,Big Little Lies,SHOW,2017,TV-MA,2.0,"['drama', 'crime']",7.9
557,Big Little Lies,SHOW,2017,TV-MA,2.0,"['drama', 'crime']",7.9
558,Hank Zipzer,SHOW,2014,Unknown,3.0,"['comedy', 'family', 'european']",7.9
559,Hank Zipzer,SHOW,2014,Unknown,3.0,"['comedy', 'family', 'european']",7.9
560,Hank Zipzer,SHOW,2014,Unknown,3.0,"['comedy', 'family', 'european']",7.9
561,The Closer,SHOW,2005,TV-MA,7.0,"['crime', 'drama']",7.9
562,The Closer,SHOW,2005,TV-MA,7.0,"['crime', 'drama']",7.9
563,Rap Battlefield,SHOW,2021,Unknown,1.0,"['drama', 'music']",7.9
564,Rap Battlefield,SHOW,2021,Unknown,1.0,"['drama', 'music']",7.9
565,Step by Step,SHOW,1991,TV-G,7.0,"['comedy', 'drama', 'family', 'romance', 'sport', 'reality', 'horror']",7.9
566,Step by Step,SHOW,1991,TV-G,7.0,"['comedy', 'drama', 'family', 'romance', 'sport', 'reality', 'horror']",7.9
567,Step by Step,SHOW,1991,TV-G,7.0,"['comedy', 'drama', 'family', 'romance', 'sport', 'reality', 'horror']",7.9
568,Step by Step,SHOW,1991,TV-G,7.0,"['comedy', 'drama', 'family', 'romance', 'sport', 'reality', 'horror']",7.9
569,Step by Step,SHOW,1991,TV-G,7.0,"['comedy', 'drama', 'family', 'romance', 'sport', 'reality', 'horror']",7.9
570,Step by Step,SHOW,1991,TV-G,7.0,"['comedy', 'drama', 'family', 'romance', 'sport', 'reality', 'horror']",7.9
571,Step by Step,SHOW,1991,TV-G,7.0,"['comedy', 'drama', 'family', 'romance', 'sport', 'reality', 'horror']",7.9
572,Who Killed Garrett Phillips?,SHOW,2019,TV-MA,1.0,"['crime', 'documentation']",7.9
573,Who Killed Garrett Phillips?,SHOW,2019,TV-MA,1.0,"['crime', 'documentation']",7.9
574,"Ed, Edd n Eddy",SHOW,1999,TV-Y7,6.0,"['animation', 'family', 'comedy']",7.9
575,"Ed, Edd n Eddy",SHOW,1999,TV-Y7,6.0,"['animation', 'family', 'comedy']",7.9
576,"Ed, Edd n Eddy",SHOW,1999,TV-Y7,6.0,"['animation', 'family', 'comedy']",7.9
577,The Life & Times of Tim,SHOW,2008,TV-MA,3.0,"['comedy', 'animation']",7.9
578,The Life & Times of Tim,SHOW,2008,TV-MA,3.0,"['comedy', 'animation']",7.9
579,Watchmen: Motion Comic,SHOW,2008,TV-14,1.0,"['scifi', 'action', 'animation', 'drama']",7.9
580,Watchmen: Motion Comic,SHOW,2008,TV-14,1.0,"['scifi', 'action', 'animation', 'drama']",7.9
581,Watchmen: Motion Comic,SHOW,2008,TV-14,1.0,"['scifi', 'action', 'animation', 'drama']",7.9
582,Watchmen: Motion Comic,SHOW,2008,TV-14,1.0,"['scifi', 'action', 'animation', 'drama']",7.9
583,The Gilded Age,SHOW,2022,TV-MA,1.0,['drama'],7.9
584,Check It Out! with Dr. Steve Brule,SHOW,2010,TV-14,4.0,['comedy'],7.9
585,Martin,SHOW,1992,TV-14,6.0,"['comedy', 'drama', 'romance', 'family']",7.887
586,Martin,SHOW,1992,TV-14,6.0,"['comedy', 'drama', 'romance', 'family']",7.887
587,Martin,SHOW,1992,TV-14,6.0,"['comedy', 'drama', 'romance', 'family']",7.887
588,Martin,SHOW,1992,TV-14,6.0,"['comedy', 'drama', 'romance', 'family']",7.887
589,Foster's Home for Imaginary Friends,SHOW,2004,TV-Y7,6.0,"['scifi', 'animation', 'comedy', 'family', 'fantasy']",7.887
590,Foster's Home for Imaginary Friends,SHOW,2004,TV-Y7,6.0,"['scifi', 'animation', 'comedy', 'family', 'fantasy']",7.887
591,Foster's Home for Imaginary Friends,SHOW,2004,TV-Y7,6.0,"['scifi', 'animation', 'comedy', 'family', 'fantasy']",7.887
592,Foster's Home for Imaginary Friends,SHOW,2004,TV-Y7,6.0,"['scifi', 'animation', 'comedy', 'family', 'fantasy']",7.887
593,Foster's Home for Imaginary Friends,SHOW,2004,TV-Y7,6.0,"['scifi', 'animation', 'comedy', 'family', 'fantasy']",7.887
594,"What's New, Scooby-Doo?",SHOW,2002,TV-Y7,3.0,"['animation', 'action', 'thriller', 'comedy', 'family']",7.885
595,"What's New, Scooby-Doo?",SHOW,2002,TV-Y7,3.0,"['animation', 'action', 'thriller', 'comedy', 'family']",7.885
596,"What's New, Scooby-Doo?",SHOW,2002,TV-Y7,3.0,"['animation', 'action', 'thriller', 'comedy', 'family']",7.885
597,"What's New, Scooby-Doo?",SHOW,2002,TV-Y7,3.0,"['animation', 'action', 'thriller', 'comedy', 'family']",7.885
598,"What's New, Scooby-Doo?",SHOW,2002,TV-Y7,3.0,"['animation', 'action', 'thriller', 'comedy', 'family']",7.885
599,El Negocio (The Business),SHOW,2013,TV-MA,4.0,"['drama', 'comedy']",7.877
600,El Negocio (The Business),SHOW,2013,TV-MA,4.0,"['drama', 'comedy']",7.877
601,The Big Bang Theory,SHOW,2007,TV-14,12.0,"['comedy', 'romance']",7.874
602,The Big Bang Theory,SHOW,2007,TV-14,12.0,"['comedy', 'romance']",7.874
603,The Cleaning Lady,SHOW,2022,TV-14,2.0,"['crime', 'drama', 'thriller']",7.873
604,The Cleaning Lady,SHOW,2022,TV-14,2.0,"['crime', 'drama', 'thriller']",7.873
605,The Cleaning Lady,SHOW,2022,TV-14,2.0,"['crime', 'drama', 'thriller']",7.873
606,Impractical Jokers,SHOW,2011,TV-14,10.0,"['comedy', 'reality']",7.865
607,Impractical Jokers,SHOW,2011,TV-14,10.0,"['comedy', 'reality']",7.865
608,ER,SHOW,1994,TV-14,15.0,"['drama', 'documentation', 'romance']",7.859
609,ER,SHOW,1994,TV-14,15.0,"['drama', 'documentation', 'romance']",7.859
610,ER,SHOW,1994,TV-14,15.0,"['drama', 'documentation', 'romance']",7.859
611,Our Flag Means Death,SHOW,2022,TV-MA,2.0,"['action', 'drama', 'comedy', 'history', 'romance']",7.858
612,Our Flag Means Death,SHOW,2022,TV-MA,2.0,"['action', 'drama', 'comedy', 'history', 'romance']",7.858
613,Our Flag Means Death,SHOW,2022,TV-MA,2.0,"['action', 'drama', 'comedy', 'history', 'romance']",7.858
614,Our Flag Means Death,SHOW,2022,TV-MA,2.0,"['action', 'drama', 'comedy', 'history', 'romance']",7.858
615,Our Flag Means Death,SHOW,2022,TV-MA,2.0,"['action', 'drama', 'comedy', 'history', 'romance']",7.858
616,Flight of the Conchords,SHOW,2007,TV-MA,2.0,"['comedy', 'music']",7.849
617,Flight of the Conchords,SHOW,2007,TV-MA,2.0,"['comedy', 'music']",7.849
618,The Batman,SHOW,2004,TV-Y7,5.0,"['scifi', 'action', 'thriller', 'animation', 'fantasy', 'family', 'crime', 'drama']",7.848
619,The Batman,SHOW,2004,TV-Y7,5.0,"['scifi', 'action', 'thriller', 'animation', 'fantasy', 'family', 'crime', 'drama']",7.848
620,The Batman,SHOW,2004,TV-Y7,5.0,"['scifi', 'action', 'thriller', 'animation', 'fantasy', 'family', 'crime', 'drama']",7.848
621,The Batman,SHOW,2004,TV-Y7,5.0,"['scifi', 'action', 'thriller', 'animation', 'fantasy', 'family', 'crime', 'drama']",7.848
622,The Batman,SHOW,2004,TV-Y7,5.0,"['scifi', 'action', 'thriller', 'animation', 'fantasy', 'family', 'crime', 'drama']",7.848
623,The Batman,SHOW,2004,TV-Y7,5.0,"['scifi', 'action', 'thriller', 'animation', 'fantasy', 'family', 'crime', 'drama']",7.848
624,The Batman,SHOW,2004,TV-Y7,5.0,"['scifi', 'action', 'thriller', 'animation', 'fantasy', 'family', 'crime', 'drama']",7.848
625,The Batman,SHOW,2004,TV-Y7,5.0,"['scifi', 'action', 'thriller', 'animation', 'fantasy', 'family', 'crime', 'drama']",7.848
626,Barry,SHOW,2018,TV-MA,3.0,"['comedy', 'drama', 'crime', 'action']",7.845
627,Barry,SHOW,2018,TV-MA,3.0,"['comedy', 'drama', 'crime', 'action']",7.845
628,Barry,SHOW,2018,TV-MA,3.0,"['comedy', 'drama', 'crime', 'action']",7.845
629,Barry,SHOW,2018,TV-MA,3.0,"['comedy', 'drama', 'crime', 'action']",7.845
630,"Scooby-Doo, Where Are You!",SHOW,1969,TV-G,3.0,"['comedy', 'family', 'animation', 'crime']",7.839
631,"Scooby-Doo, Where Are You!",SHOW,1969,TV-G,3.0,"['comedy', 'family', 'animation', 'crime']",7.839
632,"Scooby-Doo, Where Are You!",SHOW,1969,TV-G,3.0,"['comedy', 'family', 'animation', 'crime']",7.839
633,"Scooby-Doo, Where Are You!",SHOW,1969,TV-G,3.0,"['comedy', 'family', 'animation', 'crime']",7.839
634,One Tree Hill,SHOW,2003,TV-14,9.0,"['drama', 'romance', 'sport']",7.827
635,One Tree Hill,SHOW,2003,TV-14,9.0,"['drama', 'romance', 'sport']",7.827
636,One Tree Hill,SHOW,2003,TV-14,9.0,"['drama', 'romance', 'sport']",7.827
637,DC's Stargirl,SHOW,2020,TV-14,3.0,"['scifi', 'action', 'drama', 'crime', 'fantasy']",7.823
638,DC's Stargirl,SHOW,2020,TV-14,3.0,"['scifi', 'action', 'drama', 'crime', 'fantasy']",7.823
639,DC's Stargirl,SHOW,2020,TV-14,3.0,"['scifi', 'action', 'drama', 'crime', 'fantasy']",7.823
640,DC's Stargirl,SHOW,2020,TV-14,3.0,"['scifi', 'action', 'drama', 'crime', 'fantasy']",7.823
641,DC's Stargirl,SHOW,2020,TV-14,3.0,"['scifi', 'action', 'drama', 'crime', 'fantasy']",7.823
642,The O.C.,SHOW,2003,TV-14,4.0,"['drama', 'comedy', 'romance']",7.817
643,The O.C.,SHOW,2003,TV-14,4.0,"['drama', 'comedy', 'romance']",7.817
644,The O.C.,SHOW,2003,TV-14,4.0,"['drama', 'comedy', 'romance']",7.817
645,John Adams,SHOW,2008,TV-14,1.0,"['drama', 'history']",7.806
646,John Adams,SHOW,2008,TV-14,1.0,"['drama', 'history']",7.806
647,The Larry Sanders Show,SHOW,1992,TV-MA,6.0,['comedy'],7.8
648,Exterminate All the Brutes,SHOW,2021,TV-MA,1.0,"['documentation', 'drama', 'history']",7.8
649,Exterminate All the Brutes,SHOW,2021,TV-MA,1.0,"['documentation', 'drama', 'history']",7.8
650,Exterminate All the Brutes,SHOW,2021,TV-MA,1.0,"['documentation', 'drama', 'history']",7.8
651,Cold Case,SHOW,2003,TV-14,7.0,"['drama', 'crime', 'thriller']",7.8
652,Cold Case,SHOW,2003,TV-14,7.0,"['drama', 'crime', 'thriller']",7.8
653,Cold Case,SHOW,2003,TV-14,7.0,"['drama', 'crime', 'thriller']",7.8
654,When Shall We Kiss?,SHOW,2011,Unknown,2.0,"['drama', 'romance', 'comedy']",7.8
655,When Shall We Kiss?,SHOW,2011,Unknown,2.0,"['drama', 'romance', 'comedy']",7.8
656,When Shall We Kiss?,SHOW,2011,Unknown,2.0,"['drama', 'romance', 'comedy']",7.8
657,Green Lantern: The Animated Series,SHOW,2011,TV-PG,1.0,"['action', 'scifi', 'animation', 'family']",7.797
658,Green Lantern: The Animated Series,SHOW,2011,TV-PG,1.0,"['action', 'scifi', 'animation', 'family']",7.797
659,Green Lantern: The Animated Series,SHOW,2011,TV-PG,1.0,"['action', 'scifi', 'animation', 'family']",7.797
660,Green Lantern: The Animated Series,SHOW,2011,TV-PG,1.0,"['action', 'scifi', 'animation', 'family']",7.797
661,In Treatment,SHOW,2008,TV-MA,4.0,['drama'],7.781
662,The Other Two,SHOW,2019,TV-MA,2.0,['comedy'],7.773
663,Whose Line Is It Anyway?,SHOW,1998,TV-14,15.0,['comedy'],7.772
664,Kung Fu,SHOW,2021,TV-14,3.0,"['action', 'drama']",7.747
665,Kung Fu,SHOW,2021,TV-14,3.0,"['action', 'drama']",7.747
666,The Venture Bros.,SHOW,2004,TV-MA,7.0,"['action', 'comedy', 'animation', 'fantasy', 'scifi']",7.747
667,The Venture Bros.,SHOW,2004,TV-MA,7.0,"['action', 'comedy', 'animation', 'fantasy', 'scifi']",7.747
668,The Venture Bros.,SHOW,2004,TV-MA,7.0,"['action', 'comedy', 'animation', 'fantasy', 'scifi']",7.747
669,The Venture Bros.,SHOW,2004,TV-MA,7.0,"['action', 'comedy', 'animation', 'fantasy', 'scifi']",7.747
670,The Venture Bros.,SHOW,2004,TV-MA,7.0,"['action', 'comedy', 'animation', 'fantasy', 'scifi']",7.747
671,Sharp Objects,SHOW,2018,TV-MA,1.0,"['drama', 'crime', 'thriller']",7.743
672,Sharp Objects,SHOW,2018,TV-MA,1.0,"['drama', 'crime', 'thriller']",7.743
673,Sharp Objects,SHOW,2018,TV-MA,1.0,"['drama', 'crime', 'thriller']",7.743
674,Watchmen,SHOW,2019,TV-MA,1.0,"['scifi', 'crime', 'drama', 'action']",7.736
675,Watchmen,SHOW,2019,TV-MA,1.0,"['scifi', 'crime', 'drama', 'action']",7.736
676,Watchmen,SHOW,2019,TV-MA,1.0,"['scifi', 'crime', 'drama', 'action']",7.736
677,Watchmen,SHOW,2019,TV-MA,1.0,"['scifi', 'crime', 'drama', 'action']",7.736
678,Super Friends,SHOW,1973,TV-Y7,9.0,"['scifi', 'family', 'animation', 'action']",7.731
679,Super Friends,SHOW,1973,TV-Y7,9.0,"['scifi', 'family', 'animation', 'action']",7.731
680,Super Friends,SHOW,1973,TV-Y7,9.0,"['scifi', 'family', 'animation', 'action']",7.731
681,Super Friends,SHOW,1973,TV-Y7,9.0,"['scifi', 'family', 'animation', 'action']",7.731
682,Chuck,SHOW,2007,TV-14,5.0,"['comedy', 'drama', 'action']",7.727
683,Chuck,SHOW,2007,TV-14,5.0,"['comedy', 'drama', 'action']",7.727
684,Chuck,SHOW,2007,TV-14,5.0,"['comedy', 'drama', 'action']",7.727
685,The Young Pope,SHOW,2016,TV-MA,1.0,"['drama', 'european']",7.727
686,The Young Pope,SHOW,2016,TV-MA,1.0,"['drama', 'european']",7.727
687,The Pacific,SHOW,2010,TV-MA,1.0,"['action', 'war', 'drama', 'history']",7.723
688,The Pacific,SHOW,2010,TV-MA,1.0,"['action', 'war', 'drama', 'history']",7.723
689,The Pacific,SHOW,2010,TV-MA,1.0,"['action', 'war', 'drama', 'history']",7.723
690,The Pacific,SHOW,2010,TV-MA,1.0,"['action', 'war', 'drama', 'history']",7.723
691,All Rise,SHOW,2019,TV-MA,3.0,"['drama', 'family']",7.715
692,All Rise,SHOW,2019,TV-MA,3.0,"['drama', 'family']",7.715
693,Poor Devil,SHOW,2023,TV-MA,1.0,"['comedy', 'animation']",7.714
694,Poor Devil,SHOW,2023,TV-MA,1.0,"['comedy', 'animation']",7.714
695,Metalocalypse,SHOW,2006,TV-MA,5.0,"['animation', 'comedy', 'music']",7.7
696,Metalocalypse,SHOW,2006,TV-MA,5.0,"['animation', 'comedy', 'music']",7.7
697,Metalocalypse,SHOW,2006,TV-MA,5.0,"['animation', 'comedy', 'music']",7.7
698,Adam Ruins Everything,SHOW,2015,TV-14,3.0,"['comedy', 'history', 'documentation', 'animation']",7.7
699,Adam Ruins Everything,SHOW,2015,TV-14,3.0,"['comedy', 'history', 'documentation', 'animation']",7.7
700,Adam Ruins Everything,SHOW,2015,TV-14,3.0,"['comedy', 'history', 'documentation', 'animation']",7.7
701,Adam Ruins Everything,SHOW,2015,TV-14,3.0,"['comedy', 'history', 'documentation', 'animation']",7.7
702,Sealab 2021,SHOW,2000,TV-14,5.0,"['animation', 'scifi', 'comedy']",7.7
703,Sealab 2021,SHOW,2000,TV-14,5.0,"['animation', 'scifi', 'comedy']",7.7
704,Sealab 2021,SHOW,2000,TV-14,5.0,"['animation', 'scifi', 'comedy']",7.7
705,Black Dynamite,SHOW,2012,TV-MA,2.0,"['comedy', 'action', 'crime', 'drama', 'animation']",7.7
706,Black Dynamite,SHOW,2012,TV-MA,2.0,"['comedy', 'action', 'crime', 'drama', 'animation']",7.7
707,Black Dynamite,SHOW,2012,TV-MA,2.0,"['comedy', 'action', 'crime', 'drama', 'animation']",7.7
708,Black Dynamite,SHOW,2012,TV-MA,2.0,"['comedy', 'action', 'crime', 'drama', 'animation']",7.7
709,Black Dynamite,SHOW,2012,TV-MA,2.0,"['comedy', 'action', 'crime', 'drama', 'animation']",7.7
710,The Zen Diaries of Garry Shandling,SHOW,2018,TV-MA,1.0,['documentation'],7.7
711,Looney Tunes Cartoons,SHOW,2020,TV-PG,5.0,"['family', 'animation', 'comedy', 'thriller', 'action']",7.7
712,Looney Tunes Cartoons,SHOW,2020,TV-PG,5.0,"['family', 'animation', 'comedy', 'thriller', 'action']",7.7
713,Looney Tunes Cartoons,SHOW,2020,TV-PG,5.0,"['family', 'animation', 'comedy', 'thriller', 'action']",7.7
714,Looney Tunes Cartoons,SHOW,2020,TV-PG,5.0,"['family', 'animation', 'comedy', 'thriller', 'action']",7.7
715,Looney Tunes Cartoons,SHOW,2020,TV-PG,5.0,"['family', 'animation', 'comedy', 'thriller', 'action']",7.7
716,Fixer Upper,SHOW,2013,TV-G,5.0,['reality'],7.7
717,We Bare Bears,SHOW,2015,TV-Y7,4.0,"['comedy', 'family', 'fantasy', 'animation']",7.7
718,We Bare Bears,SHOW,2015,TV-Y7,4.0,"['comedy', 'family', 'fantasy', 'animation']",7.7
719,We Bare Bears,SHOW,2015,TV-Y7,4.0,"['comedy', 'family', 'fantasy', 'animation']",7.7
720,We Bare Bears,SHOW,2015,TV-Y7,4.0,"['comedy', 'family', 'fantasy', 'animation']",7.7
721,Shaq,SHOW,2022,TV-14,1.0,"['documentation', 'sport']",7.7
722,Shaq,SHOW,2022,TV-14,1.0,"['documentation', 'sport']",7.7
723,The Forgotten Valley,SHOW,2022,TV-MA,1.0,"['drama', 'thriller']",7.7
724,The Forgotten Valley,SHOW,2022,TV-MA,1.0,"['drama', 'thriller']",7.7
725,Mr. Show with Bob and David,SHOW,1995,TV-MA,4.0,['comedy'],7.7
726,Abbott Elementary,SHOW,2021,TV-PG,3.0,['comedy'],7.7
727,Julia,SHOW,2022,Unknown,1.0,['drama'],7.7
728,A Black Lady Sketch Show,SHOW,2019,TV-MA,3.0,['comedy'],7.696
729,Angels in America,SHOW,2003,TV-MA,1.0,"['drama', 'scifi', 'fantasy', 'romance']",7.696
730,Angels in America,SHOW,2003,TV-MA,1.0,"['drama', 'scifi', 'fantasy', 'romance']",7.696
731,Angels in America,SHOW,2003,TV-MA,1.0,"['drama', 'scifi', 'fantasy', 'romance']",7.696
732,Angels in America,SHOW,2003,TV-MA,1.0,"['drama', 'scifi', 'fantasy', 'romance']",7.696
733,Elvis Presley: The Searcher,SHOW,2018,TV-PG,1.0,['documentation'],7.667
734,The Deuce,SHOW,2017,TV-MA,3.0,['drama'],7.665
735,The Alienist,SHOW,2018,TV-MA,2.0,"['drama', 'crime']",7.665
736,The Alienist,SHOW,2018,TV-MA,2.0,"['drama', 'crime']",7.665
