,Title,Type,Release Year,Rating,Duration,Genres,Vote Average
92,Modern Times,MOVIE,1936,G,87,"['drama', 'comedy', 'romance', 'family']",8.314
93,Juan Luis Guerra 4.40: Entre Mar y Palmeras,MOVIE,2021,PG,70,['music'],8.3
94,The Newspaperman: The Life and Times of Ben Bradlee,MOVIE,2017,Unknown,90,['documentation'],8.3
95,Santana: Corazón Live from Mexico: Live It to Believe It,MOVIE,2014,Unknown,133,['music'],8.3
96,LFG,MOVIE,2021,Unknown,105,"['documentation', 'sport']",8.3
97,LFG,MOVIE,2021,Unknown,105,"['documentation', 'sport']",8.3
98,Princess Mononoke,MOVIE,1997,PG-13,134,"['action', 'fantasy', 'animation']",8.3
99,Princess Mononoke,MOVIE,1997,PG-13,134,"['action', 'fantasy', 'animation']",8.3
100,Princess Mononoke,MOVIE,1997,PG-13,134,"['action', 'fantasy', 'animation']",8.3
101,A West Wing Special to Benefit When We All Vote,MOVIE,2020,Unknown,64,['drama'],8.3
102,Justice League Dark: Apokolips War,MOVIE,2020,R,90,"['animation', 'action']",8.3
103,Justice League Dark: Apokolips War,MOVIE,2020,R,90,"['animation', 'action']",8.3
104,Notes from the Field,MOVIE,2018,Unknown,90,['drama'],8.3
105,Persona,MOVIE,1966,Unknown,85,"['drama', 'european', 'thriller']",8.27
106,Persona,MOVIE,1966,Unknown,85,"['drama', 'european', 'thriller']",8.27
107,Persona,MOVIE,1966,Unknown,85,"['drama', 'european', 'thriller']",8.27
108,Bicycle Thieves,MOVIE,1948,Unknown,93,"['drama', 'european']",8.234
109,Bicycle Thieves,MOVIE,1948,Unknown,93,"['drama', 'european']",8.234
110,A Clockwork Orange,MOVIE,1972,R,137,"['drama', 'crime', 'scifi']",8.221
111,A Clockwork Orange,MOVIE,1972,R,137,"['drama', 'crime', 'scifi']",8.221
112,A Clockwork Orange,MOVIE,1972,R,137,"['drama', 'crime', 'scifi']",8.221
113,The Seventh Seal,MOVIE,1957,Unknown,96,"['fantasy', 'drama', 'european', 'history', 'thriller']",8.219
114,The Seventh Seal,MOVIE,1957,Unknown,96,"['fantasy', 'drama', 'european', 'history', 'thriller']",8.219
115,The Seventh Seal,MOVIE,1957,Unknown,96,"['fantasy', 'drama', 'european', 'history', 'thriller']",8.219
116,The Seventh Seal,MOVIE,1957,Unknown,96,"['fantasy', 'drama', 'european', 'history', 'thriller']",8.219
117,The Seventh Seal,MOVIE,1957,Unknown,96,"['fantasy', 'drama', 'european', 'history', 'thriller']",8.219
118,Zack Snyder's Justice League,MOVIE,2021,R,242,"['scifi', 'action', 'fantasy', 'drama']",8.217
119,Zack Snyder's Justice League,MOVIE,2021,R,242,"['scifi', 'action', 'fantasy', 'drama']",8.217
120,Zack Snyder's Justice League,MOVIE,2021,R,242,"['scifi', 'action', 'fantasy', 'drama']",8.217
121,Zack Snyder's Justice League,MOVIE,2021,R,242,"['scifi', 'action', 'fantasy', 'drama']",8.217
122,The Kid,MOVIE,1921,Unknown,68,"['comedy', 'drama', 'family']",8.212
123,The Kid,MOVIE,1921,Unknown,68,"['comedy', 'drama', 'family']",8.212
124,The Kid,MOVIE,1921,Unknown,68,"['comedy', 'drama', 'family']",8.212
125,Stalker,MOVIE,1980,Unknown,162,"['drama', 'european', 'scifi']",8.202
126,Stalker,MOVIE,1980,Unknown,162,"['drama', 'european', 'scifi']",8.202
127,Stalker,MOVIE,1980,Unknown,162,"['drama', 'european', 'scifi']",8.202
128,Steven Universe: The Movie,MOVIE,2019,Unknown,82,"['thriller', 'scifi', 'drama', 'fantasy', 'family', 'animation', 'action', 'comedy']",8.2
129,Steven Universe: The Movie,MOVIE,2019,Unknown,82,"['thriller', 'scifi', 'drama', 'fantasy', 'family', 'animation', 'action', 'comedy']",8.2
130,Steven Universe: The Movie,MOVIE,2019,Unknown,82,"['thriller', 'scifi', 'drama', 'fantasy', 'family', 'animation', 'action', 'comedy']",8.2
131,Steven Universe: The Movie,MOVIE,2019,Unknown,82,"['thriller', 'scifi', 'drama', 'fantasy', 'family', 'animation', 'action', 'comedy']",8.2
132,Steven Universe: The Movie,MOVIE,2019,Unknown,82,"['thriller', 'scifi', 'drama', 'fantasy', 'family', 'animation', 'action', 'comedy']",8.2
133,Steven Universe: The Movie,MOVIE,2019,Unknown,82,"['thriller', 'scifi', 'drama', 'fantasy', 'family', 'animation', 'action', 'comedy']",8.2
134,Steven Universe: The Movie,MOVIE,2019,Unknown,82,"['thriller', 'scifi', 'drama', 'fantasy', 'family', 'animation', 'action', 'comedy']",8.2
135,Steven Universe: The Movie,MOVIE,2019,Unknown,82,"['thriller', 'scifi', 'drama', 'fantasy', 'family', 'animation', 'action', 'comedy']",8.2
136,Tokyo Story,MOVIE,1953,Unknown,136,['drama'],8.2
137,Apur Sansar,MOVIE,1959,PG-13,105,"['drama', 'romance']",8.2
138,Apur Sansar,MOVIE,1959,PG-13,105,"['drama', 'romance']",8.2
139,An Apology to Elephants,MOVIE,2013,PG,40,['documentation'],8.2
140,Billy Crystal: 700 Sundays,MOVIE,2014,Unknown,119,"['comedy', 'documentation', 'drama']",8.2
141,Billy Crystal: 700 Sundays,MOVIE,2014,Unknown,119,"['comedy', 'documentation', 'drama']",8.2
142,Billy Crystal: 700 Sundays,MOVIE,2014,Unknown,119,"['comedy', 'documentation', 'drama']",8.2
143,8½,MOVIE,1963,Unknown,139,"['fantasy', 'drama', 'european']",8.2
144,8½,MOVIE,1963,Unknown,139,"['fantasy', 'drama', 'european']",8.2
145,8½,MOVIE,1963,Unknown,139,"['fantasy', 'drama', 'european']",8.2
146,The Matrix,MOVIE,1999,R,136,"['action', 'scifi']",8.2
147,The Matrix,MOVIE,1999,R,136,"['action', 'scifi']",8.2
148,Night and Fog,MOVIE,1956,Unknown,32,"['documentation', 'war', 'history', 'european']",8.2
149,Night and Fog,MOVIE,1956,Unknown,32,"['documentation', 'war', 'history', 'european']",8.2
150,Night and Fog,MOVIE,1956,Unknown,32,"['documentation', 'war', 'history', 'european']",8.2
151,Night and Fog,MOVIE,1956,Unknown,32,"['documentation', 'war', 'history', 'european']",8.2
152,Memento,MOVIE,2000,R,113,['thriller'],8.19
153,Scenes from a Marriage,MOVIE,1974,PG,299,"['drama', 'european']",8.187
154,Scenes from a Marriage,MOVIE,1974,PG,299,"['drama', 'european']",8.187
155,Joker,MOVIE,2019,R,122,"['thriller', 'drama', 'crime']",8.17
156,Joker,MOVIE,2019,R,122,"['thriller', 'drama', 'crime']",8.17
157,Joker,MOVIE,2019,R,122,"['thriller', 'drama', 'crime']",8.17
158,Casablanca,MOVIE,1943,PG,102,"['drama', 'romance', 'war']",8.167
159,Casablanca,MOVIE,1943,PG,102,"['drama', 'romance', 'war']",8.167
160,Casablanca,MOVIE,1943,PG,102,"['drama', 'romance', 'war']",8.167
161,Taxi Driver,MOVIE,1976,R,113,"['drama', 'crime']",8.166
162,Taxi Driver,MOVIE,1976,R,113,"['drama', 'crime']",8.166
163,The Departed,MOVIE,2006,R,151,"['drama', 'thriller', 'crime', 'action']",8.164
164,The Departed,MOVIE,2006,R,151,"['drama', 'thriller', 'crime', 'action']",8.164
165,The Departed,MOVIE,2006,R,151,"['drama', 'thriller', 'crime', 'action']",8.164
166,The Departed,MOVIE,2006,R,151,"['drama', 'thriller', 'crime', 'action']",8.164
167,Singin' in the Rain,MOVIE,1952,G,103,"['drama', 'comedy', 'music', 'romance']",8.161
168,Singin' in the Rain,MOVIE,1952,G,103,"['drama', 'comedy', 'music', 'romance']",8.161
169,Singin' in the Rain,MOVIE,1952,G,103,"['drama', 'comedy', 'music', 'romance']",8.161
170,Singin' in the Rain,MOVIE,1952,G,103,"['drama', 'comedy', 'music', 'romance']",8.161
171,Scooby-Doo! and the Gourmet Ghost,MOVIE,2018,G,77,['animation'],8.154
172,The Latin Explosion: A New America,MOVIE,2015,Unknown,64,"['documentation', 'music']",8.154
173,The Latin Explosion: A New America,MOVIE,2015,Unknown,64,"['documentation', 'music']",8.154
174,Yojimbo,MOVIE,1961,Unknown,110,"['thriller', 'crime', 'comedy', 'action', 'drama', 'european']",8.146
175,Yojimbo,MOVIE,1961,Unknown,110,"['thriller', 'crime', 'comedy', 'action', 'drama', 'european']",8.146
176,Yojimbo,MOVIE,1961,Unknown,110,"['thriller', 'crime', 'comedy', 'action', 'drama', 'european']",8.146
177,Yojimbo,MOVIE,1961,Unknown,110,"['thriller', 'crime', 'comedy', 'action', 'drama', 'european']",8.146
178,Yojimbo,MOVIE,1961,Unknown,110,"['thriller', 'crime', 'comedy', 'action', 'drama', 'european']",8.146
179,Yojimbo,MOVIE,1961,Unknown,110,"['thriller', 'crime', 'comedy', 'action', 'drama', 'european']",8.146
180,In the Mood for Love,MOVIE,2000,PG,99,"['romance', 'drama']",8.112
181,In the Mood for Love,MOVIE,2000,PG,99,"['romance', 'drama']",8.112
182,Red Beard,MOVIE,1965,Unknown,185,['drama'],8.109
183,M,MOVIE,1931,PG-13,109,"['thriller', 'crime', 'drama', 'action', 'european']",8.106
184,M,MOVIE,1931,PG-13,109,"['thriller', 'crime', 'drama', 'action', 'european']",8.106
185,M,MOVIE,1931,PG-13,109,"['thriller', 'crime', 'drama', 'action', 'european']",8.106
186,M,MOVIE,1931,PG-13,109,"['thriller', 'crime', 'drama', 'action', 'european']",8.106
187,M,MOVIE,1931,PG-13,109,"['thriller', 'crime', 'drama', 'action', 'european']",8.106
188,"War and Peace, Part III: The Year 1812",MOVIE,1967,Unknown,82,"['drama', 'war', 'history']",8.1
189,"War and Peace, Part III: The Year 1812",MOVIE,1967,Unknown,82,"['drama', 'war', 'history']",8.1
190,"War and Peace, Part III: The Year 1812",MOVIE,1967,Unknown,82,"['drama', 'war', 'history']",8.1
191,Daniel Sloss: X,MOVIE,2019,Unknown,89,['comedy'],8.1
192,"Paris, Texas",MOVIE,1984,R,147,"['drama', 'european']",8.1
193,"Paris, Texas",MOVIE,1984,R,147,"['drama', 'european']",8.1
194,Wild Strawberries,MOVIE,1957,Unknown,92,"['drama', 'european', 'romance']",8.1
195,Wild Strawberries,MOVIE,1957,Unknown,92,"['drama', 'european', 'romance']",8.1
196,Wild Strawberries,MOVIE,1957,Unknown,92,"['drama', 'european', 'romance']",8.1
197,Nobody,MOVIE,2021,R,92,"['thriller', 'drama', 'action', 'crime']",8.1
198,Nobody,MOVIE,2021,R,92,"['thriller', 'drama', 'action', 'crime']",8.1
199,Nobody,MOVIE,2021,R,92,"['thriller', 'drama', 'action', 'crime']",8.1
200,Nobody,MOVIE,2021,R,92,"['thriller', 'drama', 'action', 'crime']",8.1
201,Terminator 2: Judgment Day,MOVIE,1991,R,137,"['scifi', 'action', 'thriller']",8.1
202,Terminator 2: Judgment Day,MOVIE,1991,R,137,"['scifi', 'action', 'thriller']",8.1
203,Terminator 2: Judgment Day,MOVIE,1991,R,137,"['scifi', 'action', 'thriller']",8.1
204,Scooby-Doo! and KISS: Rock and Roll Mystery,MOVIE,2015,PG,79,"['thriller', 'animation']",8.1
205,Scooby-Doo! and KISS: Rock and Roll Mystery,MOVIE,2015,PG,79,"['thriller', 'animation']",8.1
206,Nothing Left Unsaid: Gloria Vanderbilt & Anderson Cooper,MOVIE,2016,PG,108,['documentation'],8.1
207,Varda by Agnès,MOVIE,2019,Unknown,115,"['documentation', 'european']",8.1
208,Varda by Agnès,MOVIE,2019,Unknown,115,"['documentation', 'european']",8.1
209,The Tale of The Princess Kaguya,MOVIE,2013,PG,137,"['drama', 'fantasy', 'animation', 'family']",8.1
210,The Tale of The Princess Kaguya,MOVIE,2013,PG,137,"['drama', 'fantasy', 'animation', 'family']",8.1
211,The Tale of The Princess Kaguya,MOVIE,2013,PG,137,"['drama', 'fantasy', 'animation', 'family']",8.1
212,The Tale of The Princess Kaguya,MOVIE,2013,PG,137,"['drama', 'fantasy', 'animation', 'family']",8.1
213,Codename: Kids Next Door - Operation Z.E.R.O.,MOVIE,2006,G,73,"['comedy', 'family', 'scifi', 'animation', 'action']",8.1
214,Codename: Kids Next Door - Operation Z.E.R.O.,MOVIE,2006,G,73,"['comedy', 'family', 'scifi', 'animation', 'action']",8.1
215,Codename: Kids Next Door - Operation Z.E.R.O.,MOVIE,2006,G,73,"['comedy', 'family', 'scifi', 'animation', 'action']",8.1
216,Codename: Kids Next Door - Operation Z.E.R.O.,MOVIE,2006,G,73,"['comedy', 'family', 'scifi', 'animation', 'action']",8.1
217,Codename: Kids Next Door - Operation Z.E.R.O.,MOVIE,2006,G,73,"['comedy', 'family', 'scifi', 'animation', 'action']",8.1
218,The Passion of Joan of Arc,MOVIE,1928,Unknown,110,"['drama', 'european', 'history']",8.1
219,The Passion of Joan of Arc,MOVIE,1928,Unknown,110,"['drama', 'european', 'history']",8.1
220,The Passion of Joan of Arc,MOVIE,1928,Unknown,110,"['drama', 'european', 'history']",8.1
221,Rashomon,MOVIE,1950,Unknown,88,"['drama', 'crime']",8.1
222,Rashomon,MOVIE,1950,Unknown,88,"['drama', 'crime']",8.1
223,2001: A Space Odyssey,MOVIE,1968,G,149,"['thriller', 'action', 'scifi']",8.083
224,2001: A Space Odyssey,MOVIE,1968,G,149,"['thriller', 'action', 'scifi']",8.083
225,2001: A Space Odyssey,MOVIE,1968,G,149,"['thriller', 'action', 'scifi']",8.083
226,Paris Is Burning,MOVIE,1991,R,71,"['documentation', 'romance', 'drama']",8.08
227,Paris Is Burning,MOVIE,1991,R,71,"['documentation', 'romance', 'drama']",8.08
228,Paris Is Burning,MOVIE,1991,R,71,"['documentation', 'romance', 'drama']",8.08
229,The 400 Blows,MOVIE,1959,Unknown,99,"['drama', 'european', 'crime']",8.079
230,The 400 Blows,MOVIE,1959,Unknown,99,"['drama', 'european', 'crime']",8.079
231,The 400 Blows,MOVIE,1959,Unknown,99,"['drama', 'european', 'crime']",8.079
232,Pather Panchali,MOVIE,1955,Unknown,125,['drama'],8.074
233,My Neighbor Totoro,MOVIE,1988,G,87,"['fantasy', 'animation', 'family', 'comedy']",8.068
234,My Neighbor Totoro,MOVIE,1988,G,87,"['fantasy', 'animation', 'family', 'comedy']",8.068
235,My Neighbor Totoro,MOVIE,1988,G,87,"['fantasy', 'animation', 'family', 'comedy']",8.068
236,My Neighbor Totoro,MOVIE,1988,G,87,"['fantasy', 'animation', 'family', 'comedy']",8.068
237,Dave Chappelle: Killin' Them Softly,MOVIE,2000,Unknown,58,"['comedy', 'documentation']",8.067
