,Title,Type,Country,Director,Cast,Release Year,Rating,Duration,Genre,Vote Average
90,Have a Good Trip: Adventures in Psychedelics,Movie,United States,Donick Cary,"Nick Offerman, Adam Scott",2020,TV-MA,86 min,Documentaries,8.5
91,Natalie Palamides: Nate - A One Man Show,Movie,United States,Phil Burgers,Natalie Palamides,2020,TV-MA,60 min,Comedies,8.462
92,Vir Das: Losing It,Movie,United States,Marcus Raboy,Vir Das,2018,TV-MA,68 min,Stand-Up Comedy,8.436
93,End of Watch,Movie,United States,David Ayer,"Jake Gyllenhaal, Michael Peña, Natalie Martinez, Anna Kendrick, David Harbour, Frank Grillo, America Ferrera, Cle Sloan, Jaime FitzSimons, Cody Horn, Shondrella Avery, America Ferrara",2012,R,109 min,Action & Adventure,8.41
94,Aarakshan,Movie,India,Prakash Jha,"Amitabh Bachchan, Saif Ali Khan, Manoj Bajpayee, Deepika Padukone, Prateik, Tanvi Azmi, Saurabh Shukla, Darshan Jariwala, Yashpal Sharma, Mukesh Tiwari",2011,TV-14,164 min,Dramas,8.402
95,Aarakshan,Movie,India,Prakash Jha,"Amitabh Bachchan, Saif Ali Khan, Manoj Bajpayee, Deepika Padukone, Prateik, Tanvi Azmi, Saurabh Shukla, Darshan Jariwala, Yashpal Sharma, Mukesh Tiwari",2011,TV-14,164 min, International Movies,8.402
96,Clouds of Sils Maria,Movie,"France, Germany, Switzerland",Olivier Assayas,"Juliette Binoche, Kristen Stewart, Chloë Grace Moretz, Lars Eidinger, Johnny Flynn, Angela Winkler, Hanns Zischler, Brady Corbet",2014,R,124 min,Dramas,8.4
97,Clouds of Sils Maria,Movie,"France, Germany, Switzerland",Olivier Assayas,"Juliette Binoche, Kristen Stewart, Chloë Grace Moretz, Lars Eidinger, Johnny Flynn, Angela Winkler, Hanns Zischler, Brady Corbet",2014,R,124 min, International Movies,8.4
98,Untold: Deal With the Devil,Movie,,Laura Brownson,Unknown,2021,TV-MA,78 min,Documentaries,8.4
99,Untold: Deal With the Devil,Movie,,Laura Brownson,Unknown,2021,TV-MA,78 min, LGBTQ Movies,8.4
100,Untold: Deal With the Devil,Movie,,Laura Brownson,Unknown,2021,TV-MA,78 min, Sports Movies,8.4
101,Fifty,Movie,Nigeria,Biyi Bandele,"Dakore Akande, Ireti Doyle, Nse Ikpe-Etim, Omoni Oboli",2015,NR,101 min,Dramas,8.385
102,Fifty,Movie,Nigeria,Biyi Bandele,"Dakore Akande, Ireti Doyle, Nse Ikpe-Etim, Omoni Oboli",2015,NR,101 min, International Movies,8.385
103,Disco Dancer,Movie,India,B. Subhash,"Mithun Chakraborty, Kim, Kalpana Iyer, Om Puri, Gita Siddharth, Yusuf Khan, Bob Christo, Om Shivpuri, Karan Razdan",1982,TV-14,134 min,Cult Movies,8.383
104,Disco Dancer,Movie,India,B. Subhash,"Mithun Chakraborty, Kim, Kalpana Iyer, Om Puri, Gita Siddharth, Yusuf Khan, Bob Christo, Om Shivpuri, Karan Razdan",1982,TV-14,134 min, Dramas,8.383
105,Disco Dancer,Movie,India,B. Subhash,"Mithun Chakraborty, Kim, Kalpana Iyer, Om Puri, Gita Siddharth, Yusuf Khan, Bob Christo, Om Shivpuri, Karan Razdan",1982,TV-14,134 min, International Movies,8.383
106,Hampstead,Movie,"United Kingdom, Belgium",Joel Hopkins,"Diane Keaton, Brendan Gleeson, Lesley Manville, Jason Watkins, James Norton, Phil Davis",2019,PG-13,103 min,Comedies,8.365
107,Hampstead,Movie,"United Kingdom, Belgium",Joel Hopkins,"Diane Keaton, Brendan Gleeson, Lesley Manville, Jason Watkins, James Norton, Phil Davis",2019,PG-13,103 min, Dramas,8.365
108,Hampstead,Movie,"United Kingdom, Belgium",Joel Hopkins,"Diane Keaton, Brendan Gleeson, Lesley Manville, Jason Watkins, James Norton, Phil Davis",2019,PG-13,103 min, International Movies,8.365
109,Hantu Kak Limah,Movie,Malaysia,Mamat Khalid,"Awie, Arab Khalid, Sharwani Ns, Tj Isa, Delimawati, Zul Ariffin, Uqasha Senrose, Ropie Cecupak",2018,TV-PG,110 min,Comedies,8.333
110,Hantu Kak Limah,Movie,Malaysia,Mamat Khalid,"Awie, Arab Khalid, Sharwani Ns, Tj Isa, Delimawati, Zul Ariffin, Uqasha Senrose, Ropie Cecupak",2018,TV-PG,110 min, Horror Movies,8.333
