,Title,Type,Cast,Release Year,Date Added,Rating,Duration,Genre,Vote Average
918,Billy Dilley's Super-Duper Subterranean Summer,TV Show,"Aaron Springer, Catherine Wayne, Tom Kenny",2016,"January 1, 2020",TV-Y7,1 Season, Comedy,5.3
919,Billy Dilley's Super-Duper Subterranean Summer,TV Show,"Aaron Springer, Catherine Wayne, Tom Kenny",2016,"January 1, 2020",TV-Y7,1 Season, Fantasy,5.3
920,Disney's Magic Bake-Off,TV Show,"Issac Ryan Brown, Dara Reneé, Graciela Gomez",2021,"September 29, 2021",TV-G,1 Season,Family,5.25
921,Disney's Magic Bake-Off,TV Show,"Issac Ryan Brown, Dara Reneé, Graciela Gomez",2021,"September 29, 2021",TV-G,1 Season, Game Show / Competition,5.25
922,"Dr. Oakley, Yukon Vet",TV Show,"Dr. Michelle Oakley, Zachary Fine",2013,"November 17, 2021",TV-PG,10 Seasons,Action-Adventure,5.2
923,"Dr. Oakley, Yukon Vet",TV Show,"Dr. Michelle Oakley, Zachary Fine",2013,"November 17, 2021",TV-PG,10 Seasons, Animals & Nature,5.2
924,"Dr. Oakley, Yukon Vet",TV Show,"Dr. Michelle Oakley, Zachary Fine",2013,"November 17, 2021",TV-PG,10 Seasons, Docuseries,5.2
925,Disney Fancy Nancy,TV Show,"Mia Jenness, Alyson Hannigan, Rob Riggle, Spencer Moss, Dana Heath",2018,"November 12, 2021",TV-PG,3 Seasons,Animation,5.2
926,Disney Fancy Nancy,TV Show,"Mia Jenness, Alyson Hannigan, Rob Riggle, Spencer Moss, Dana Heath",2018,"November 12, 2021",TV-PG,3 Seasons, Kids,5.2
927,Star Wars: Blips,TV Show,Unknown,2019,"November 12, 2019",TV-Y7-FV,1 Season,Series,5.2
928,Star Wars Vintage: Droids,TV Show,"Anthony Daniels, R2-D2, Lesleh Donaldson, Andrew Sabiston, Don Francks, Dan Hennessey",1985,"June 18, 2021",TV-Y7-FV,2 Seasons,Action-Adventure,5.1
929,Star Wars Vintage: Droids,TV Show,"Anthony Daniels, R2-D2, Lesleh Donaldson, Andrew Sabiston, Don Francks, Dan Hennessey",1985,"June 18, 2021",TV-Y7-FV,2 Seasons, Animation,5.1
930,Star Wars Vintage: Droids,TV Show,"Anthony Daniels, R2-D2, Lesleh Donaldson, Andrew Sabiston, Don Francks, Dan Hennessey",1985,"June 18, 2021",TV-Y7-FV,2 Seasons, Fantasy,5.1
931,Minnie's Bow-Toons: Party Palace Pals,TV Show,"Tress MacNeille, Nika Futterman, Kaitlyn Robrock",2021,"July 28, 2021",TV-Y7,1 Season,Animation,5.056
932,Minnie's Bow-Toons: Party Palace Pals,TV Show,"Tress MacNeille, Nika Futterman, Kaitlyn Robrock",2021,"July 28, 2021",TV-Y7,1 Season, Kids,5.056
933,Future-Worm!,TV Show,"Andy Milonakis, James Adomian, Corey Burton, Melanie Lynskey, Ryan Quincy, Neil deGrasse Tyson",2016,"April 9, 2021",TV-Y7,1 Season,Family,5.0
934,Future-Worm!,TV Show,"Andy Milonakis, James Adomian, Corey Burton, Melanie Lynskey, Ryan Quincy, Neil deGrasse Tyson",2016,"April 9, 2021",TV-Y7,1 Season, Kids,5.0
935,Paradise Islands,TV Show,Michael Izqueirdo,2017,"April 10, 2020",TV-PG,1 Season,Animals & Nature,5.0
936,Paradise Islands,TV Show,Michael Izqueirdo,2017,"April 10, 2020",TV-PG,1 Season, Docuseries,5.0
937,Paradise Islands,TV Show,Michael Izqueirdo,2017,"April 10, 2020",TV-PG,1 Season, Family,5.0
938,Muppet Babies Show and Tell (Shorts),TV Show,"Matt Danner, Melanie Harrison, Ben Diskin, Eric Bauza, Dee Baker, Jessica DiCicco",2017,"January 15, 2020",TV-Y7,1 Season,Animation,5.0
939,Muppet Babies Show and Tell (Shorts),TV Show,"Matt Danner, Melanie Harrison, Ben Diskin, Eric Bauza, Dee Baker, Jessica DiCicco",2017,"January 15, 2020",TV-Y7,1 Season, Kids,5.0
940,Disney Randy Cunningham: 9th Grade Ninja,TV Show,"Ben Schwartz, Andrew Caldwell, Tim Curry, John DiMaggio, Kevin Richardson, Dave Wittenberg",2011,"January 15, 2020",TV-Y7,2 Seasons,Action-Adventure,5.0
941,Disney Randy Cunningham: 9th Grade Ninja,TV Show,"Ben Schwartz, Andrew Caldwell, Tim Curry, John DiMaggio, Kevin Richardson, Dave Wittenberg",2011,"January 15, 2020",TV-Y7,2 Seasons, Animation,5.0
942,Disney Randy Cunningham: 9th Grade Ninja,TV Show,"Ben Schwartz, Andrew Caldwell, Tim Curry, John DiMaggio, Kevin Richardson, Dave Wittenberg",2011,"January 15, 2020",TV-Y7,2 Seasons, Comedy,5.0
943,Weird But True!,TV Show,"Charlie Engelman, Kirby Engelman",2017,"August 14, 2020",TV-G,3 Seasons,Animals & Nature,5.0
944,Weird But True!,TV Show,"Charlie Engelman, Kirby Engelman",2017,"August 14, 2020",TV-G,3 Seasons, Kids,5.0
945,Weird But True!,TV Show,"Charlie Engelman, Kirby Engelman",2017,"August 14, 2020",TV-G,3 Seasons, Variety,5.0
946,Spaced Out,TV Show,Ben DeTour,2018,"August 14, 2020",TV-G,1 Season,Docuseries,5.0
947,Spaced Out,TV Show,Ben DeTour,2018,"August 14, 2020",TV-G,1 Season, Kids,5.0
948,Continent 7: Antarctica,TV Show,Chris Browning,2016,"January 15, 2020",TV-PG,1 Season,Action-Adventure,5.0
949,Continent 7: Antarctica,TV Show,Chris Browning,2016,"January 15, 2020",TV-PG,1 Season, Animals & Nature,5.0
950,Continent 7: Antarctica,TV Show,Chris Browning,2016,"January 15, 2020",TV-PG,1 Season, Docuseries,5.0
951,Be Our Chef,TV Show,Angela Kinsey,2020,"March 27, 2020",TV-G,1 Season,Family,5.0
952,Be Our Chef,TV Show,Angela Kinsey,2020,"March 27, 2020",TV-G,1 Season, Game Show / Competition,5.0
953,India From Above,TV Show,Dev Patel,2019,"October 23, 2020",TV-PG,1 Season,Docuseries,5.0
954,India From Above,TV Show,Dev Patel,2019,"October 23, 2020",TV-PG,1 Season, Reality,5.0
955,Disney I Didn't Do It,TV Show,"Olivia Holt, Austin North, Piper Curda, Peyton Clark, Sarah Gilman",2013,"March 20, 2020",TV-G,2 Seasons,Comedy,5.0
956,Disney I Didn't Do It,TV Show,"Olivia Holt, Austin North, Piper Curda, Peyton Clark, Sarah Gilman",2013,"March 20, 2020",TV-G,2 Seasons, Family,5.0
957,Marvel Battleworld: Mystery of the Thanostones,TV Show,"Giles Panton, Rebecca Shoichet, Jesse Inocalla, Brad Swaile, Deven Mack, Ian Hanlin",2020,"February 12, 2021",TV-Y7-FV,1 Season,Action-Adventure,5.0
958,Marvel Battleworld: Mystery of the Thanostones,TV Show,"Giles Panton, Rebecca Shoichet, Jesse Inocalla, Brad Swaile, Deven Mack, Ian Hanlin",2020,"February 12, 2021",TV-Y7-FV,1 Season, Animation,5.0
959,Marvel Battleworld: Mystery of the Thanostones,TV Show,"Giles Panton, Rebecca Shoichet, Jesse Inocalla, Brad Swaile, Deven Mack, Ian Hanlin",2020,"February 12, 2021",TV-Y7-FV,1 Season, Fantasy,5.0
960,Disney Fast Layne,TV Show,"Sophie Pollono, Sofia Rosinsky, Brandon Rossel, Winslow Fegley",2018,"November 12, 2019",TV-G,1 Season,Action-Adventure,4.8
961,Disney Fast Layne,TV Show,"Sophie Pollono, Sofia Rosinsky, Brandon Rossel, Winslow Fegley",2018,"November 12, 2019",TV-G,1 Season, Animation,4.8
962,Disney Fast Layne,TV Show,"Sophie Pollono, Sofia Rosinsky, Brandon Rossel, Winslow Fegley",2018,"November 12, 2019",TV-G,1 Season, Comedy,4.8
963,Disney JONAS,TV Show,"Kevin Jonas, Joe Jonas, Nick Jonas, Chelsea Staub, Nicole Anderson, John Ducey",2008,"November 12, 2019",TV-G,2 Seasons,Comedy,4.8
964,Disney JONAS,TV Show,"Kevin Jonas, Joe Jonas, Nick Jonas, Chelsea Staub, Nicole Anderson, John Ducey",2008,"November 12, 2019",TV-G,2 Seasons, Family,4.8
965,Disney JONAS,TV Show,"Kevin Jonas, Joe Jonas, Nick Jonas, Chelsea Staub, Nicole Anderson, John Ducey",2008,"November 12, 2019",TV-G,2 Seasons, Kids,4.8
966,Disney Jake and the Never Land Pirates,TV Show,"Madison Pettis, Colin Ford, Jonathan Heit, David Arquette, Corey Burton",2010,"November 12, 2019",TV-Y,4 Seasons,Action-Adventure,4.8
967,Disney Jake and the Never Land Pirates,TV Show,"Madison Pettis, Colin Ford, Jonathan Heit, David Arquette, Corey Burton",2010,"November 12, 2019",TV-Y,4 Seasons, Animation,4.8
968,Disney Jake and the Never Land Pirates,TV Show,"Madison Pettis, Colin Ford, Jonathan Heit, David Arquette, Corey Burton",2010,"November 12, 2019",TV-Y,4 Seasons, Fantasy,4.8
969,Disney Gravity Falls (Shorts),TV Show,Unknown,2012,"November 12, 2019",TV-G,1 Season,Animation,4.8
970,Disney Gravity Falls (Shorts),TV Show,Unknown,2012,"November 12, 2019",TV-G,1 Season, Anthology,4.8
971,Disney Gravity Falls (Shorts),TV Show,Unknown,2012,"November 12, 2019",TV-G,1 Season, Comedy,4.8
972,Disney Gravity Falls,TV Show,"Kristen Schaal, Jason Morgan, Alex Hirsch",2011,"November 12, 2019",TV-Y7,2 Seasons,Action-Adventure,4.8
973,Disney Gravity Falls,TV Show,"Kristen Schaal, Jason Morgan, Alex Hirsch",2011,"November 12, 2019",TV-Y7,2 Seasons, Animation,4.8
974,Disney Gravity Falls,TV Show,"Kristen Schaal, Jason Morgan, Alex Hirsch",2011,"November 12, 2019",TV-Y7,2 Seasons, Comedy,4.8
975,America's Funniest Home Videos: Animal Edition,TV Show,Alfonso Ribeiro,2021,"August 11, 2021",TV-PG,1 Season,Reality,4.8
976,Disney Family Sundays,TV Show,Unknown,2019,"November 12, 2019",TV-G,1 Season,Anthology,4.8
977,Disney Family Sundays,TV Show,Unknown,2019,"November 12, 2019",TV-G,1 Season, Family,4.8
978,Disney Family Sundays,TV Show,Unknown,2019,"November 12, 2019",TV-G,1 Season, Lifestyle,4.8
979,PJ Masks,TV Show,"Kyle Breitkopf, Jacob Ursomarzo, Addison Holley",2015,"October 20, 2021",TV-Y7,5 Seasons,Action-Adventure,4.682
980,PJ Masks,TV Show,"Kyle Breitkopf, Jacob Ursomarzo, Addison Holley",2015,"October 20, 2021",TV-Y7,5 Seasons, Animation,4.682
981,PJ Masks,TV Show,"Kyle Breitkopf, Jacob Ursomarzo, Addison Holley",2015,"October 20, 2021",TV-Y7,5 Seasons, Kids,4.682
982,Wild Nordic,TV Show,Dan Nachtrab,2019,"December 18, 2020",TV-PG,1 Season,Animals & Nature,4.5
