,Title,Type,Country,Director,Cast,Release Year,Rating,Duration,Vote Average
51,Avengers: Infinity War,Movie,United States,"Anthony Russo, Joe Russo","Robert Downey Jr., Josh Brolin, Mark Ruffalo, Tom Hiddleston, Chris Evans, Chris Hemsworth, Jeremy Renner, Chris Pratt, Elizabeth Olsen, Sebastian Stan, Benedict Cumberbatch, Paul Bettany, Cobie Smulders, Benedict Wong, Zoe Saldana, Karen Gillan, Vin Diesel, Dave Bautista, Bradley Cooper, Pom Klementieff, Scarlett Johansson, Benicio Del Toro, Anthony Mackie, Chadwick Boseman, Danai Gurira, Paul Rudd, Don Cheadle, Tom Holland",2018,PG-13,150 min,8.5
52,Jani Dueñas: Grandes fracasos de ayer y hoy,Movie,Chile,"Raúl Campos, Jan Suter",Jani Dueñas,2018,TV-MA,77 min,8.5
53,Have a Good Trip: Adventures in Psychedelics,Movie,United States,Donick Cary,"Nick Offerman, Adam Scott",2020,TV-MA,86 min,8.5
54,Natalie Palamides: Nate - A One Man Show,Movie,United States,Phil Burgers,Natalie Palamides,2020,TV-MA,60 min,8.462
55,Vir Das: Losing It,Movie,United States,Marcus Raboy,Vir Das,2018,TV-MA,68 min,8.436
56,End of Watch,Movie,United States,David Ayer,"Jake Gyllenhaal, Michael Peña, Natalie Martinez, Anna Kendrick, David Harbour, Frank Grillo, America Ferrera, Cle Sloan, Jaime FitzSimons, Cody Horn, Shondrella Avery, America Ferrara",2012,R,109 min,8.41
57,Aarakshan,Movie,India,Prakash Jha,"Amitabh Bachchan, Saif Ali Khan, Manoj Bajpayee, Deepika Padukone, Prateik, Tanvi Azmi, Saurabh Shukla, Darshan Jariwala, Yashpal Sharma, Mukesh Tiwari",2011,TV-14,164 min,8.402
58,Clouds of Sils Maria,Movie,France,Olivier Assayas,"Juliette Binoche, Kristen Stewart, Chloë Grace Moretz, Lars Eidinger, Johnny Flynn, Angela Winkler, Hanns Zischler, Brady Corbet",2014,R,124 min,8.4
59,Clouds of Sils Maria,Movie, Germany,Olivier Assayas,"Juliette Binoche, Kristen Stewart, Chloë Grace Moretz, Lars Eidinger, Johnny Flynn, Angela Winkler, Hanns Zischler, Brady Corbet",2014,R,124 min,8.4
60,Clouds of Sils Maria,Movie, Switzerland,Olivier Assayas,"Juliette Binoche, Kristen Stewart, Chloë Grace Moretz, Lars Eidinger, Johnny Flynn, Angela Winkler, Hanns Zischler, Brady Corbet",2014,R,124 min,8.4
61,Untold: Deal With the Devil,Movie,nan,Laura Brownson,Unknown,2021,TV-MA,78 min,8.4
62,Fifty,Movie,Nigeria,Biyi Bandele,"Dakore Akande, Ireti Doyle, Nse Ikpe-Etim, Omoni Oboli",2015,NR,101 min,8.385
63,Disco Dancer,Movie,India,B. Subhash,"Mithun Chakraborty, Kim, Kalpana Iyer, Om Puri, Gita Siddharth, Yusuf Khan, Bob Christo, Om Shivpuri, Karan Razdan",1982,TV-14,134 min,8.383
64,Hampstead,Movie,United Kingdom,Joel Hopkins,"Diane Keaton, Brendan Gleeson, Lesley Manville, Jason Watkins, James Norton, Phil Davis",2019,PG-13,103 min,8.365
65,Hampstead,Movie, Belgium,Joel Hopkins,"Diane Keaton, Brendan Gleeson, Lesley Manville, Jason Watkins, James Norton, Phil Davis",2019,PG-13,103 min,8.365
