,Title,Type,Country,Release Year,Rating,Duration,Vote Average
49,The Silence of the Lambs,MOVIE,['US'],1991,R,118,8.344
50,City Lights,MOVIE,['US'],1931,G,87,8.341
51,High and Low,MOVIE,['JP'],1963,Unknown,143,8.324
52,Modern Times,MOVIE,['US'],1936,G,87,8.314
53,Juan Luis Guerra 4.40: Entre Mar y Palmeras,MOVIE,['DO'],2021,PG,70,8.3
54,The Newspaperman: The Life and Times of Ben Bradlee,MOVIE,['US'],2017,Unknown,90,8.3
55,Santana: Corazón Live from Mexico: Live It to Believe It,MOVIE,['US'],2014,Unknown,133,8.3
56,LFG,MOVIE,['US'],2021,Unknown,105,8.3
57,Princess Mononoke,MOVIE,['JP'],1997,PG-13,134,8.3
58,A West Wing Special to Benefit When We All Vote,MOVIE,['US'],2020,Unknown,64,8.3
59,Justice League Dark: Apokolips War,MOVIE,['US'],2020,R,90,8.3
60,Notes from the Field,MOVIE,['US'],2018,Unknown,90,8.3
61,Persona,MOVIE,['SE'],1966,Unknown,85,8.27
62,Bicycle Thieves,MOVIE,['IT'],1948,Unknown,93,8.234
63,A Clockwork Orange,MOVIE,['US',1972,R,137,8.221
64,A Clockwork Orange,MOVIE, 'GB'],1972,R,137,8.221
65,The Seventh Seal,MOVIE,['SE'],1957,Unknown,96,8.219
66,Zack Snyder's Justice League,MOVIE,['US'],2021,R,242,8.217
67,The Kid,MOVIE,['US'],1921,Unknown,68,8.212
68,Stalker,MOVIE,['SU'],1980,Unknown,162,8.202
69,Steven Universe: The Movie,MOVIE,['US'],2019,Unknown,82,8.2
70,Tokyo Story,MOVIE,['JP'],1953,Unknown,136,8.2
71,Apur Sansar,MOVIE,['IN'],1959,PG-13,105,8.2
72,An Apology to Elephants,MOVIE,['US'],2013,PG,40,8.2
73,Billy Crystal: 700 Sundays,MOVIE,['US'],2014,Unknown,119,8.2
74,8½,MOVIE,['FR',1963,Unknown,139,8.2
75,8½,MOVIE, 'IT'],1963,Unknown,139,8.2
76,The Matrix,MOVIE,['US'],1999,R,136,8.2
77,Night and Fog,MOVIE,['FR'],1956,Unknown,32,8.2
78,Memento,MOVIE,['US'],2000,R,113,8.19
79,Scenes from a Marriage,MOVIE,['SE'],1974,PG,299,8.187
80,Joker,MOVIE,['US',2019,R,122,8.17
81,Joker,MOVIE, 'CA'],2019,R,122,8.17
82,Casablanca,MOVIE,['US'],1943,PG,102,8.167
83,Taxi Driver,MOVIE,['US'],1976,R,113,8.166
84,The Departed,MOVIE,['HK',2006,R,151,8.164
85,The Departed,MOVIE, 'US'],2006,R,151,8.164
86,Singin' in the Rain,MOVIE,['US'],1952,G,103,8.161
87,Scooby-Doo! and the Gourmet Ghost,MOVIE,['US'],2018,G,77,8.154
88,The Latin Explosion: A New America,MOVIE,['US'],2015,Unknown,64,8.154
89,Yojimbo,MOVIE,['JP'],1961,Unknown,110,8.146
90,In the Mood for Love,MOVIE,['NL',2000,PG,99,8.112
91,In the Mood for Love,MOVIE, 'FR',2000,PG,99,8.112
92,In the Mood for Love,MOVIE, 'HK'],2000,PG,99,8.112
93,Red Beard,MOVIE,['JP'],1965,Unknown,185,8.109
94,M,MOVIE,['DE'],1931,PG-13,109,8.106
95,"War and Peace, Part III: The Year 1812",MOVIE,['SU'],1967,Unknown,82,8.1
96,Daniel Sloss: X,MOVIE,['GB'],2019,Unknown,89,8.1
97,"Paris, Texas",MOVIE,['GB',1984,R,147,8.1
98,"Paris, Texas",MOVIE, 'US',1984,R,147,8.1
99,"Paris, Texas",MOVIE, 'FR',1984,R,147,8.1
100,"Paris, Texas",MOVIE, 'DE'],1984,R,147,8.1
101,Wild Strawberries,MOVIE,['SE'],1957,Unknown,92,8.1
102,Nobody,MOVIE,['US'],2021,R,92,8.1
103,Terminator 2: Judgment Day,MOVIE,['FR',1991,R,137,8.1
104,Terminator 2: Judgment Day,MOVIE, 'US'],1991,R,137,8.1
105,Scooby-Doo! and KISS: Rock and Roll Mystery,MOVIE,['US'],2015,PG,79,8.1
