,Title,Type,Country,Release Year,Rating,Duration,Vote Average
381,Hoop Dreams,MOVIE,['US'],1994,PG-13,170,7.669
382,Any One of Us,MOVIE,['US',2020,Unknown,88,7.667
383,Any One of Us,MOVIE, 'CA',2020,Unknown,88,7.667
384,Any One of Us,MOVIE, 'MX',2020,Unknown,88,7.667
385,Any One of Us,MOVIE, 'NL'],2020,Unknown,88,7.667
386,537 Votes,MOVIE,['US'],2020,Unknown,109,7.667
387,Elvis,MOVIE,['US',2022,PG-13,159,7.665
388,Elvis,MOVIE, 'AU'],2022,PG-13,159,7.665
389,The Philadelphia Story,MOVIE,['US'],1940,Unknown,112,7.661
390,George Carlin: You Are All Diseased,MOVIE,['US'],1999,Unknown,65,7.649
391,Blue Bayou,MOVIE,['US',2021,Unknown,119,7.644
392,Blue Bayou,MOVIE, 'CA'],2021,Unknown,119,7.644
393,Blue Velvet,MOVIE,['US'],1986,R,120,7.641
394,Elevator to the Gallows,MOVIE,['FR'],1958,Unknown,91,7.641
395,The Terminator,MOVIE,['US',1984,R,107,7.639
396,The Terminator,MOVIE, 'GB'],1984,R,107,7.639
397,Boogie Nights,MOVIE,['US'],1997,R,155,7.635
398,Opening Night,MOVIE,['US'],1978,PG-13,144,7.631
399,Jules and Jim,MOVIE,['FR'],1962,Unknown,100,7.63
400,Taste of Cherry,MOVIE,['IR',1997,Unknown,95,7.628
401,Taste of Cherry,MOVIE, 'FR'],1997,Unknown,95,7.628
402,Everything Is Copy,MOVIE,['US'],2016,Unknown,89,7.625
403,Scooby-Doo! Pirates Ahoy!,MOVIE,['US'],2006,Unknown,80,7.619
404,Eyes Without a Face,MOVIE,['IT',1960,Unknown,95,7.614
405,Eyes Without a Face,MOVIE, 'FR'],1960,Unknown,95,7.614
406,Butch Cassidy and the Sundance Kid,MOVIE,['US'],1969,PG,110,7.614
407,Black Narcissus,MOVIE,['GB'],1947,Unknown,100,7.609
408,Harlan County U.S.A.,MOVIE,['US'],1977,PG,103,7.608
409,Ride Your Wave,MOVIE,['JP'],2019,Unknown,95,7.607
410,The Fault in Our Stars,MOVIE,['US'],2014,PG-13,126,7.602
411,Michelle Wolf: Nice Lady,MOVIE,['US'],2017,Unknown,58,7.6
412,Lady Snowblood,MOVIE,['JP'],1973,Unknown,97,7.6
413,Four Hours at the Capitol,MOVIE,['US'],2021,R,88,7.6
414,The Last Emperor,MOVIE,['FR',1987,PG-13,160,7.6
415,The Last Emperor,MOVIE, 'IT',1987,PG-13,160,7.6
416,The Last Emperor,MOVIE, 'GB',1987,PG-13,160,7.6
417,The Last Emperor,MOVIE, 'CN'],1987,PG-13,160,7.6
418,We Stand Alone Together: The Men of Easy Company,MOVIE,['BE',2001,PG,78,7.6
419,We Stand Alone Together: The Men of Easy Company,MOVIE, 'US'],2001,PG,78,7.6
420,Where Eagles Dare,MOVIE,['GB'],1968,PG,155,7.6
421,The Dirty Dozen,MOVIE,['GB',1967,Unknown,150,7.6
422,The Dirty Dozen,MOVIE, 'US'],1967,Unknown,150,7.6
423,The Earrings of Madame de...,MOVIE,['FR',1953,Unknown,105,7.6
424,The Earrings of Madame de...,MOVIE, 'IT'],1953,Unknown,105,7.6
425,David Byrne's American Utopia,MOVIE,['US'],2020,Unknown,105,7.6
426,Marina Abramović: The Artist Is Present,MOVIE,['US'],2012,Unknown,99,7.6
427,Breathless,MOVIE,['FR'],1960,Unknown,90,7.6
428,Breathless,MOVIE,['FR'],2021,Unknown,106,5.8
429,Chris Rock: Kill the Messenger,MOVIE,['US'],2008,Unknown,79,7.6
430,Black Girl,MOVIE,['FR',1966,Unknown,60,7.6
431,Black Girl,MOVIE, 'SN'],1966,Unknown,60,7.6
432,Equinox Flower,MOVIE,['JP'],1958,Unknown,118,7.6
433,Hotel Mumbai,MOVIE,['IN',2019,R,123,7.6
434,Hotel Mumbai,MOVIE, 'SG',2019,R,123,7.6
435,Hotel Mumbai,MOVIE, 'US',2019,R,123,7.6
436,Hotel Mumbai,MOVIE, 'AU'],2019,R,123,7.6
437,Bill Cunningham New York,MOVIE,['US',2011,Unknown,85,7.6
438,Bill Cunningham New York,MOVIE, 'FR'],2011,Unknown,85,7.6
439,Have You Seen Andy?,MOVIE,['US'],2003,Unknown,80,7.6
440,The Testament of Dr. Mabuse,MOVIE,['DE'],1933,Unknown,122,7.6
441,Carlin at Carnegie,MOVIE,['US'],1983,Unknown,60,7.6
442,Battleship Potemkin,MOVIE,['SU'],1925,Unknown,70,7.6
443,Larry David: Curb Your Enthusiasm,MOVIE,['US'],1999,Unknown,59,7.6
444,East of Eden,MOVIE,['US'],1955,PG,115,7.6
445,The White Stadium,MOVIE,['CH'],1929,Unknown,124,7.6
446,Every Brilliant Thing,MOVIE,['US'],2016,Unknown,60,7.6
447,JFK,MOVIE,['US'],1991,R,189,7.6
448,Häxan,MOVIE,['SE'],1922,Unknown,104,7.6
449,Going Clear: Scientology and the Prison of Belief,MOVIE,['US'],2015,Unknown,119,7.6
450,The Life and Death of Colonel Blimp,MOVIE,['GB'],1944,Unknown,163,7.6
451,Paisan,MOVIE,['IT'],1948,Unknown,125,7.6
452,Sidewalk Stories,MOVIE,['US'],1990,Unknown,97,7.6
453,Nixon by Nixon: In His Own Words,MOVIE,['US'],2014,Unknown,72,7.6
454,Secrets & Lies,MOVIE,['GB',1996,R,142,7.6
455,Secrets & Lies,MOVIE, 'FR'],1996,R,142,7.6
456,McQueen,MOVIE,['GB'],2018,R,111,7.6
457,Happy Together,MOVIE,['JP',1997,Unknown,96,7.6
458,Happy Together,MOVIE, 'AR',1997,Unknown,96,7.6
459,Happy Together,MOVIE, 'HK'],1997,Unknown,96,7.6
460,May It Last: A Portrait of the Avett Brothers,MOVIE,['US'],2017,Unknown,107,7.6
461,La Ronde,MOVIE,['FR'],1950,Unknown,110,7.6
462,The Secret World of Arrietty,MOVIE,['JP',2010,G,94,7.6
463,The Secret World of Arrietty,MOVIE, 'FR'],2010,G,94,7.6
464,Night of the Living Dead,MOVIE,['US'],1968,Unknown,96,7.6
465,Edge of Tomorrow,MOVIE,['US'],2014,PG-13,113,7.598
466,Sleepers,MOVIE,['US'],1996,R,147,7.597
467,Godzilla,MOVIE,['JP'],1954,Unknown,96,7.596
468,Godzilla,MOVIE,['JP'],2014,PG-13,123,6.269
469,The Suicide Squad,MOVIE,['US'],2021,R,132,7.594
470,L'Avventura,MOVIE,['FR',1960,Unknown,143,7.589
471,L'Avventura,MOVIE, 'IT'],1960,Unknown,143,7.589
472,Free Guy,MOVIE,['US'],2021,PG-13,114,7.589
473,Early Spring,MOVIE,['JP'],1956,Unknown,144,7.587
474,Amy,MOVIE,['GB',2015,R,128,7.587
475,Amy,MOVIE, 'US'],2015,R,128,7.587
476,The Wizard of Oz,MOVIE,['US'],1939,G,102,7.583
477,Charulata,MOVIE,['IN'],1964,Unknown,117,7.578
478,Moon,MOVIE,['US',2009,R,97,7.576
479,Moon,MOVIE, 'GB'],2009,R,97,7.576
480,Orpheus,MOVIE,['FR'],1950,Unknown,95,7.573
481,Ex Machina,MOVIE,['GB',2015,R,108,7.571
482,Ex Machina,MOVIE, 'US'],2015,R,108,7.571
483,The Hobbit: The Desolation of Smaug,MOVIE,['US',2014,PG-13,161,7.571
484,The Hobbit: The Desolation of Smaug,MOVIE, 'NZ'],2014,PG-13,161,7.571
485,George Carlin: Again!,MOVIE,['US'],1978,Unknown,82,7.568
486,Bringing Up Baby,MOVIE,['US'],1938,Unknown,102,7.566
487,The End of Summer,MOVIE,['JP'],1961,Unknown,103,7.561
488,My Dinner with Andre,MOVIE,['US'],1981,PG,110,7.561
489,Single Mother by Choice,MOVIE,['US'],2021,Unknown,82,7.559
490,Captain Phillips,MOVIE,['US'],2013,PG-13,134,7.555
491,Menace II Society,MOVIE,['US'],1993,R,97,7.547
492,"Batman: The Long Halloween, Part One",MOVIE,['US'],2021,PG-13,85,7.546
493,Night on Earth,MOVIE,['JP',1991,R,129,7.545
494,Night on Earth,MOVIE, 'GB',1991,R,129,7.545
495,Night on Earth,MOVIE, 'US',1991,R,129,7.545
496,Night on Earth,MOVIE, 'DE',1991,R,129,7.545
497,Night on Earth,MOVIE, 'FR'],1991,R,129,7.545
498,Buena Vista Social Club,MOVIE,['US',1999,G,105,7.54
499,Buena Vista Social Club,MOVIE, 'FR',1999,G,105,7.54
500,Buena Vista Social Club,MOVIE, 'GB',1999,G,105,7.54
501,Buena Vista Social Club,MOVIE, 'DE',1999,G,105,7.54
502,Buena Vista Social Club,MOVIE, 'CU'],1999,G,105,7.54
503,The Official Story,MOVIE,['AR'],1985,Unknown,112,7.538
504,The Thin Man,MOVIE,['US'],1934,Unknown,93,7.536
505,The Book of Life,MOVIE,['US'],2014,PG,95,7.535
506,"Batman: The Long Halloween, Part Two",MOVIE,['US'],2021,R,87,7.532
507,Injustice,MOVIE,['US'],2021,R,78,7.531
508,The Great Beauty,MOVIE,['BE',2013,Unknown,142,7.53
509,The Great Beauty,MOVIE, 'FR',2013,Unknown,142,7.53
510,The Great Beauty,MOVIE, 'IT'],2013,Unknown,142,7.53
511,Casino Royale,MOVIE,['CZ',2006,Unknown,144,7.527
512,Casino Royale,MOVIE, 'DE',2006,Unknown,144,7.527
513,Casino Royale,MOVIE, 'GB',2006,Unknown,144,7.527
514,Casino Royale,MOVIE, 'BS'],2006,Unknown,144,7.527
515,Justice Society: World War II,MOVIE,['US'],2021,PG-13,84,7.526
516,The Wrestler,MOVIE,['US',2009,R,109,7.525
517,The Wrestler,MOVIE, 'FR'],2009,R,109,7.525
518,The Banshees of Inisherin,MOVIE,['GB',2022,R,114,7.523
519,The Banshees of Inisherin,MOVIE, 'IE'],2022,R,114,7.523
520,The Killing of Kenneth Chamberlain,MOVIE,['US'],2021,R,83,7.52
521,Malcolm X,MOVIE,['US'],1994,PG-13,202,7.515
522,Victim,MOVIE,['GB'],1961,Unknown,100,7.514
523,Waking Life,MOVIE,['US'],2002,R,99,7.512
524,Au Revoir les Enfants,MOVIE,['FR',1987,PG,104,7.507
525,Au Revoir les Enfants,MOVIE, 'IT',1987,PG,104,7.507
526,Au Revoir les Enfants,MOVIE, 'DE'],1987,PG,104,7.507
527,Monterey Pop,MOVIE,['US'],1969,Unknown,78,7.507
528,A Star Is Born,MOVIE,['US'],2018,R,135,7.505
529,A Star Is Born,MOVIE,['US'],1954,PG,176,7.12
530,A Star Is Born,MOVIE,['US'],1973,R,139,6.0
531,The Lady Vanishes,MOVIE,['GB'],1938,Unknown,97,7.505
532,Oliver Twist,MOVIE,['GB'],1948,Unknown,116,7.5
533,Tokyo Twilight,MOVIE,['JP'],1957,R,141,7.5
534,The Pee-wee Herman Show,MOVIE,['US'],1981,Unknown,58,7.5
535,Bonnie and Clyde,MOVIE,['US'],1967,R,112,7.5
536,Yesterday,MOVIE,['ZA'],2004,R,90,7.5
537,Beauty and the Beast,MOVIE,['FR'],1946,Unknown,96,7.5
538,Ghosts of Abu Ghraib,MOVIE,['US'],2007,Unknown,78,7.5
539,The Man Who Would Be King,MOVIE,['GB',1975,PG,129,7.5
540,The Man Who Would Be King,MOVIE, 'US'],1975,PG,129,7.5
541,Burning Ojai: Our Fire Story,MOVIE,['US'],2020,Unknown,40,7.5
542,United Skates,MOVIE,['US'],2018,PG-13,89,7.5
543,Betrayal at Attica,MOVIE,['US'],2021,Unknown,83,7.5
544,Mea Maxima Culpa: Silence in the House of God,MOVIE,['US'],2012,Unknown,102,7.5
545,Diego Maradona,MOVIE,['GB'],2019,Unknown,130,7.5
546,Stuart: A Life Backwards,MOVIE,['GB'],2007,Unknown,92,7.5
547,Flight of the Conchords: Live in London,MOVIE,['US'],2018,Unknown,88,7.5
548,Mommy Dead and Dearest,MOVIE,['US'],2017,Unknown,82,7.5
549,A La Calle,MOVIE,['US'],2021,Unknown,110,7.5
550,The Kingdom of Dreams and Madness,MOVIE,['JP'],2013,PG,118,7.5
551,Between the World and Me,MOVIE,['US'],2020,Unknown,85,7.5
552,Tokyo Olympiad,MOVIE,['JP'],1965,Unknown,170,7.5
553,Justice League: War,MOVIE,['US'],2014,PG-13,79,7.5
554,Mr. SOUL!,MOVIE,['US'],2018,Unknown,90,7.5
555,Pen Pals,MOVIE,['US'],1988,Unknown,36,7.5
556,Wattstax,MOVIE,['US'],1973,R,98,7.5
557,The Death of Superman,MOVIE,['US'],2019,PG-13,81,7.5
558,The Music Room,MOVIE,['IN'],1958,Unknown,100,7.5
559,Batman: Mask of the Phantasm,MOVIE,['US'],1993,PG,76,7.5
560,A Girl in the River: The Price of Forgiveness,MOVIE,['US',2015,Unknown,40,7.5
561,A Girl in the River: The Price of Forgiveness,MOVIE, 'PK'],2015,Unknown,40,7.5
562,Chris Rock: Bigger & Blacker,MOVIE,['US'],1999,R,65,7.5
563,The Tale of Peter Rabbit,MOVIE,['US',1991,G,30,7.5
564,The Tale of Peter Rabbit,MOVIE, 'CA'],1991,G,30,7.5
565,Hamlet,MOVIE,['GB'],1948,Unknown,155,7.5
566,Birdman or (The Unexpected Virtue of Ignorance),MOVIE,['US'],2014,R,120,7.5
567,Supersonic,MOVIE,['GB'],2016,R,122,7.5
568,Police Story,MOVIE,['HK'],1985,PG-13,101,7.5
569,Netizens,MOVIE,['US'],2018,Unknown,96,7.5
570,The Iceman Confesses: Secrets of a Mafia Hitman,MOVIE,['US'],2001,Unknown,43,7.5
571,Spielberg,MOVIE,['US'],2017,Unknown,147,7.5
572,First Blood,MOVIE,['US'],1982,R,93,7.5
573,6 Days to Air: The Making of South Park,MOVIE,['US'],2011,Unknown,42,7.5
574,Young Hearts,MOVIE,['US'],2020,Unknown,85,7.5
575,From Up on Poppy Hill,MOVIE,['JP'],2011,PG,91,7.5
576,TINA,MOVIE,['US',2021,R,118,7.5
577,TINA,MOVIE, 'GB'],2021,R,118,7.5
578,The Secret Life of Bees,MOVIE,['US'],2008,PG-13,114,7.5
579,Simple As Water,MOVIE,['US'],2021,Unknown,97,7.5
580,"3 ½ Minutes, 10 Bullets",MOVIE,['US'],2015,Unknown,98,7.5
581,Ghostbusters,MOVIE,['US'],1984,PG,105,7.5
582,Please Hold,MOVIE,['US'],2020,R,18,7.5
583,Breaking the Waves,MOVIE,['ES',1996,R,158,7.494
584,Breaking the Waves,MOVIE, 'SE',1996,R,158,7.494
585,Breaking the Waves,MOVIE, 'GB',1996,R,158,7.494
586,Breaking the Waves,MOVIE, 'DK',1996,R,158,7.494
587,Breaking the Waves,MOVIE, 'FR',1996,R,158,7.494
588,Breaking the Waves,MOVIE, 'IS',1996,R,158,7.494
589,Breaking the Waves,MOVIE, 'NL',1996,R,158,7.494
590,Breaking the Waves,MOVIE, 'NO'],1996,R,158,7.494
591,The Last Duel,MOVIE,['GB',2021,R,153,7.494
592,The Last Duel,MOVIE, 'US'],2021,R,153,7.494
593,Walk the Line,MOVIE,['DE',2005,PG-13,136,7.493
594,Walk the Line,MOVIE, 'US'],2005,PG-13,136,7.493
595,Love & Basketball,MOVIE,['US'],2000,PG-13,124,7.489
596,Predator,MOVIE,['US'],1987,R,107,7.487
597,Happiness,MOVIE,['FR'],1965,Unknown,79,7.477
598,My Cousin Vinny,MOVIE,['US'],1992,R,120,7.476
599,Eyes Wide Shut,MOVIE,['GB',1999,R,159,7.476
600,Eyes Wide Shut,MOVIE, 'US'],1999,R,159,7.476
601,C.R.A.Z.Y.,MOVIE,['CA',2005,Unknown,127,7.474
602,C.R.A.Z.Y.,MOVIE, 'FR',2005,Unknown,127,7.474
603,C.R.A.Z.Y.,MOVIE, 'MA'],2005,Unknown,127,7.474
604,Pandora's Box,MOVIE,['DE'],1930,Unknown,109,7.472
605,Three Colors: White,MOVIE,['PL',1994,R,91,7.472
606,Three Colors: White,MOVIE, 'FR'],1994,R,91,7.472
607,Training Day,MOVIE,['US'],2001,R,122,7.468
608,Star Trek II: The Wrath of Khan,MOVIE,['US'],1982,PG,113,7.465
609,"Night Is Short, Walk On Girl",MOVIE,['JP'],2017,PG-13,93,7.462
610,Lone Wolf and Cub: Sword of Vengeance,MOVIE,['JP'],1972,Unknown,83,7.46
611,The Stranger,MOVIE,['FR',1991,Unknown,114,7.457
612,The Stranger,MOVIE, 'IN'],1991,Unknown,114,7.457
613,Bob Dylan: Dont Look Back,MOVIE,['US'],1968,Unknown,96,7.456
614,Ashes and Diamonds,MOVIE,['PL'],1958,Unknown,105,7.455
615,The Fugitive,MOVIE,['US'],1993,PG-13,130,7.455
616,Miss Sloane,MOVIE,['FR',2016,R,133,7.452
617,Miss Sloane,MOVIE, 'US'],2016,R,133,7.452
618,The Bourne Identity,MOVIE,['DE',2002,PG-13,119,7.45
619,The Bourne Identity,MOVIE, 'CZ',2002,PG-13,119,7.45
620,The Bourne Identity,MOVIE, 'US'],2002,PG-13,119,7.45
621,Floating Weeds,MOVIE,['JP'],1959,Unknown,115,7.449
622,To Have and Have Not,MOVIE,['US'],1945,Unknown,100,7.449
623,Ethel,MOVIE,['US'],2013,Unknown,97,7.444
624,Sin City,MOVIE,['US'],2005,R,124,7.436
625,The Umbrellas of Cherbourg,MOVIE,['FR',1964,PG-13,91,7.429
626,The Umbrellas of Cherbourg,MOVIE, 'DE'],1964,PG-13,91,7.429
627,Ellen DeGeneres: Here and Now,MOVIE,['US'],2003,Unknown,60,7.429
628,Lone Survivor,MOVIE,['US'],2014,R,121,7.424
629,Eraserhead,MOVIE,['US'],1978,Unknown,89,7.424
630,DC League of Super-Pets,MOVIE,['US'],2022,PG,105,7.422
631,News from Home,MOVIE,['FR',1977,Unknown,85,7.419
632,News from Home,MOVIE, 'DE',1977,Unknown,85,7.419
633,News from Home,MOVIE, 'BE'],1977,Unknown,85,7.419
634,Hobson's Choice,MOVIE,['GB'],1954,Unknown,107,7.418
635,Teen Titans: The Judas Contract,MOVIE,['US'],2017,PG-13,76,7.418
636,Red Desert,MOVIE,['FR',1964,Unknown,117,7.417
637,Red Desert,MOVIE, 'IT'],1964,Unknown,117,7.417
638,District 9,MOVIE,['NZ',2009,R,112,7.416
639,District 9,MOVIE, 'ZA',2009,R,112,7.416
640,District 9,MOVIE, 'US'],2009,R,112,7.416
641,The Lego Movie,MOVIE,['DK',2014,PG,100,7.415
642,The Lego Movie,MOVIE, 'US'],2014,PG,100,7.415
643,F for Fake,MOVIE,['DE',1973,PG,85,7.414
644,F for Fake,MOVIE, 'IR',1973,PG,85,7.414
645,F for Fake,MOVIE, 'FR'],1973,PG,85,7.414
646,Scooby-Doo! WrestleMania Mystery,MOVIE,['US'],2014,PG,84,7.413
647,Gimme Shelter,MOVIE,['US'],1970,R,92,7.402
648,The 39 Steps,MOVIE,['GB'],1935,Unknown,86,7.402
649,The Marriage of Maria Braun,MOVIE,['DE'],1979,R,120,7.4
650,Last Night in Soho,MOVIE,['GB'],2021,R,117,7.4
651,Chris Rock: Never Scared,MOVIE,['US'],2004,Unknown,93,7.4
652,"Diana, Our Mother: Her Life and Legacy",MOVIE,['GB'],2017,G,58,7.4
653,Jim: The James Foley Story,MOVIE,['US'],2016,Unknown,111,7.4
654,LEGO DC: Shazam! Magic and Monsters,MOVIE,['US'],2020,Unknown,81,7.4
655,The Eyes of Orson Welles,MOVIE,['US',2018,Unknown,111,7.4
656,The Eyes of Orson Welles,MOVIE, 'GB'],2018,Unknown,111,7.4
657,Lego Scooby-Doo!: Haunted Hollywood,MOVIE,['US'],2016,G,75,7.4
658,A Hard Day's Night,MOVIE,['GB'],1964,G,88,7.4
659,LEGO® Scooby-Doo! Blowout Beach Bash,MOVIE,['US'],2017,PG,72,7.4
660,Scooby-Doo! & Batman: The Brave and the Bold,MOVIE,['US'],2018,PG,75,7.4
661,Withnail & I,MOVIE,['GB'],1987,R,107,7.4
662,Interview with the Vampire,MOVIE,['US'],1994,R,123,7.4
663,Only Yesterday,MOVIE,['JP'],1991,PG,118,7.4
664,Frida,MOVIE,['US',2002,R,123,7.4
665,Frida,MOVIE, 'CA',2002,R,123,7.4
666,Frida,MOVIE, 'MX'],2002,R,123,7.4
667,Cabaret,MOVIE,['US'],1972,PG,124,7.4
668,"Now, Voyager",MOVIE,['US'],1942,Unknown,117,7.4
669,David Cross: The Pride Is Back,MOVIE,['US'],1999,Unknown,55,7.4
670,Into the Arms of Strangers: Stories of the Kindertransport,MOVIE,['GB',2000,PG,122,7.4
671,Into the Arms of Strangers: Stories of the Kindertransport,MOVIE, 'US'],2000,PG,122,7.4
672,Batman: Assault on Arkham,MOVIE,['US'],2014,PG-13,75,7.4
673,Breslin and Hamill: Deadline Artists,MOVIE,['US'],2018,PG,106,7.4
674,San Francisco 2.0,MOVIE,['US'],2015,Unknown,39,7.4
675,Belle de Jour,MOVIE,['FR',1967,R,101,7.4
676,Belle de Jour,MOVIE, 'IT'],1967,R,101,7.4
677,Little Women,MOVIE,['US'],1949,Unknown,121,7.4
678,Little Women,MOVIE,['US'],1933,Unknown,115,6.767
679,Mon Oncle,MOVIE,['IT',1958,Unknown,118,7.4
680,Mon Oncle,MOVIE, 'FR'],1958,Unknown,118,7.4
681,Kusama: Infinity,MOVIE,['JP',2018,Unknown,80,7.4
682,Kusama: Infinity,MOVIE, 'US'],2018,Unknown,80,7.4
683,Unbroken,MOVIE,['US'],2014,PG-13,132,7.4
684,Tony Hawk: Until the Wheels Fall Off,MOVIE,['US'],2022,R,135,7.4
685,Muxes,MOVIE,['MX'],2016,R,10,7.4
686,Speedy,MOVIE,['US'],1928,Unknown,85,7.4
687,The Artist,MOVIE,['FR',2011,PG-13,100,7.4
688,The Artist,MOVIE, 'BE'],2011,PG-13,100,7.4
689,Liberty: Mother of Exiles,MOVIE,['US'],2019,Unknown,90,7.4
690,The Fly,MOVIE,['CA',1986,R,96,7.4
691,The Fly,MOVIE,['CA',1958,Unknown,94,7.05
692,The Fly,MOVIE, 'GB',1986,R,96,7.4
693,The Fly,MOVIE, 'GB',1958,Unknown,94,7.05
694,The Fly,MOVIE, 'US'],1986,R,96,7.4
695,The Fly,MOVIE, 'US'],1958,Unknown,94,7.05
696,Daisies,MOVIE,['XC'],1966,Unknown,74,7.4
697,Fake Famous,MOVIE,['US'],2021,R,86,7.4
698,Drive My Car,MOVIE,['JP'],2021,Unknown,179,7.4
699,"War and Peace, Part II: Natasha Rostova",MOVIE,['SU'],1966,Unknown,98,7.4
700,The Verdict,MOVIE,['US'],1982,R,129,7.4
701,Testament of Orpheus,MOVIE,['FR'],1960,Unknown,83,7.4
702,Carrie Fisher: Wishful Drinking,MOVIE,['US'],2010,Unknown,75,7.4
703,"Ivan the Terrible, Part I",MOVIE,['SU'],1944,Unknown,99,7.4
704,Creed,MOVIE,['US'],2015,PG-13,133,7.398
705,"Ivan the Terrible, Part II: The Boyars' Plot",MOVIE,['SU'],1958,Unknown,88,7.396
706,A Dog's Life,MOVIE,['US'],1918,Unknown,33,7.396
707,The Times of Harvey Milk,MOVIE,['US'],1985,Unknown,90,7.391
708,Justice League: Doom,MOVIE,['US'],2012,PG-13,77,7.39
709,House,MOVIE,['JP'],1977,Unknown,87,7.386
710,Beetlejuice,MOVIE,['US'],1988,PG,92,7.381
711,The Great Gatsby,MOVIE,['US',2013,PG-13,143,7.38
712,The Great Gatsby,MOVIE, 'AU'],2013,PG-13,143,7.38
713,Judas and the Black Messiah,MOVIE,['CA',2021,R,126,7.376
714,Judas and the Black Messiah,MOVIE, 'US'],2021,R,126,7.376
715,Odd Man Out,MOVIE,['GB'],1947,Unknown,116,7.376
716,Positively Naked,MOVIE,['US'],2005,Unknown,38,7.375
717,Lolita,MOVIE,['US',1962,Unknown,152,7.373
718,Lolita,MOVIE, 'GB'],1962,Unknown,152,7.373
719,Teen Titans Go! To the Movies,MOVIE,['US'],2018,PG,84,7.371
720,Down by Law,MOVIE,['DE',1986,R,106,7.37
721,Down by Law,MOVIE, 'US'],1986,R,106,7.37
722,Never-Ending Man: Hayao Miyazaki,MOVIE,['JP'],2016,Unknown,70,7.364
723,Adrienne,MOVIE,['US'],2021,Unknown,98,7.364
724,Harriet,MOVIE,['US'],2019,PG-13,125,7.363
725,Black Hawk Down,MOVIE,['GB',2002,R,144,7.363
726,Black Hawk Down,MOVIE, 'US'],2002,R,144,7.363
727,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",MOVIE,['BE',1976,Unknown,201,7.359
728,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",MOVIE, 'FR'],1976,Unknown,201,7.359
729,Precious,MOVIE,['US'],2009,R,110,7.357
730,Remember,MOVIE,['ZA',2015,R,94,7.354
731,Remember,MOVIE, 'CA',2015,R,94,7.354
732,Remember,MOVIE, 'DE'],2015,R,94,7.354
733,The Iceman Tapes: Conversations with a Killer,MOVIE,['US'],1992,Unknown,47,7.353
734,The Immigrant,MOVIE,['US'],1917,Unknown,24,7.351
735,Europa Europa,MOVIE,['DE',1990,R,112,7.348
736,Europa Europa,MOVIE, 'PL',1990,R,112,7.348
737,Europa Europa,MOVIE, 'FR'],1990,R,112,7.348
738,A Day in the Country,MOVIE,['FR'],1946,Unknown,41,7.346
739,Lean On Me,MOVIE,['US'],1989,PG-13,104,7.345
740,Lone Wolf and Cub: Baby Cart in Peril,MOVIE,['JP'],1972,Unknown,81,7.339
741,Europa,MOVIE,['DE',1991,R,113,7.338
742,Europa,MOVIE, 'SE',1991,R,113,7.338
743,Europa,MOVIE, 'DK',1991,R,113,7.338
744,Europa,MOVIE, 'FR'],1991,R,113,7.338
745,Funny Games,MOVIE,['AT'],1997,R,108,7.336
746,The Young Girls Turn 25,MOVIE,['FR'],1993,Unknown,64,7.333
747,The City of Wild Beasts,MOVIE,['EC',2021,Unknown,95,7.333
748,The City of Wild Beasts,MOVIE, 'CO'],2021,Unknown,95,7.333
749,Drew Michael: Red Blue Green,MOVIE,[],2021,Unknown,58,7.333
750,Andre the Giant,MOVIE,['US'],2018,Unknown,85,7.333
751,Kareem: Minority of One,MOVIE,['US'],2015,Unknown,89,7.333
752,Twin Peaks: Fire Walk with Me,MOVIE,['US',1992,R,135,7.332
753,Twin Peaks: Fire Walk with Me,MOVIE, 'FR'],1992,R,135,7.332
754,The Piano Teacher,MOVIE,['AT',2001,R,131,7.33
755,The Piano Teacher,MOVIE, 'FR',2001,R,131,7.33
756,The Piano Teacher,MOVIE, 'DE'],2001,R,131,7.33
757,The Hobbit: An Unexpected Journey,MOVIE,['NZ',2012,PG-13,169,7.327
758,The Hobbit: An Unexpected Journey,MOVIE, 'US'],2012,PG-13,169,7.327
759,Six by Sondheim,MOVIE,['US'],2013,Unknown,86,7.326
760,Masculin Féminin,MOVIE,['SE',1966,Unknown,110,7.326
761,Masculin Féminin,MOVIE, 'FR'],1966,Unknown,110,7.326
762,Watchmen,MOVIE,['US'],2009,R,162,7.326
763,Shall We Dance,MOVIE,['US'],1937,Unknown,109,7.318
764,A Choice of Weapons: Inspired by Gordon Parks,MOVIE,['US'],2021,Unknown,89,7.313
765,Justice League: Crisis on Two Earths,MOVIE,['US'],2010,PG-13,75,7.313
766,The Hobbit: The Battle of the Five Armies,MOVIE,['US',2015,PG-13,144,7.31
767,The Hobbit: The Battle of the Five Armies,MOVIE, 'NZ'],2015,PG-13,144,7.31
768,Lone Wolf and Cub: Baby Cart at the River Styx,MOVIE,['JP'],1972,Unknown,81,7.307
769,The Bourne Supremacy,MOVIE,['DE',2004,PG-13,108,7.305
770,The Bourne Supremacy,MOVIE, 'US'],2004,PG-13,108,7.305
771,Gone Baby Gone,MOVIE,['US'],2007,R,114,7.302
772,Knife in the Water,MOVIE,['PL'],1962,Unknown,94,7.301
773,Harry Potter 20th Anniversary: Return to Hogwarts,MOVIE,['US',2022,PG-13,103,7.301
774,Harry Potter 20th Anniversary: Return to Hogwarts,MOVIE, 'GB'],2022,PG-13,103,7.301
