,Title,Type,Country,Director,Cast,Release Year,Rating,Duration,Vote Average
44,Castle of Stars,TV Show,Unknown,Unknown,"Chaiyapol Pupart, Jintanutda Lummakanon, Worrawech Danuwong, Ornjira Lamwilai, Yong Armchair, Keerati Mahapreukpong, Akarat Nimitchai, Kornpassorn Duaysianklao, Nattapong Chartpong",2015,TV-MA,1 Season,8.502
45,Narcoworld: Dope Stories,TV Show,United States,Unknown,Unknown,2019,TV-MA,1 Season,8.5
46,Valeria,TV Show,Spain,Inma Torrente,"Diana Gómez, Silma López, Paula Malia, Teresa Riott, Maxi Iglesias, Ibrahim Al Shami",2021,TV-MA,2 Seasons,8.5
47,Angelina Ballerina,TV Show,Unknown,Unknown,Unknown,2010,TV-Y,2 Seasons,8.5
48,The Expanding Universe of Ashley Garcia,TV Show,United States,Unknown,"Paulina Chávez, Jencarlos Canela",2020,TV-PG,3 Seasons,8.5
49,Kipo and the Age of Wonderbeasts,TV Show,United States,Unknown,"Karen Fukuhara, Sydney Mikayla, Deon Cole, Coy Stewart, Dee Bradley Baker, Sterling K. Brown, Dan Stevens, Jake Green, Steve Blum",2020,TV-Y7,3 Seasons,8.497
50,Manifest,TV Show,United States,Unknown,"Melissa Roxburgh, Josh Dallas, Athena Karkanis, J.R. Ramirez, Luna Blaise, Jack Messina, Parveen Kaur",2021,TV-14,3 Seasons,8.484
51,The Barrier,TV Show,Spain,Unknown,"Unax Ugalde, Olivia Molina, Eleonora Wexler, Abel Folk, Ángela Molina, Manu Fullola, Daniel Ibáñez, Laura Quirós, Nicolás Illoro, Belén Écija, Juan Blanco, Yaima Ramos",2020,TV-MA,1 Season,8.475
52,Tales of the City (1993),TV Show,United Kingdom,Unknown,"Olympia Dukakis, Donald Moffat, Laura Linney, Marcus D'Amico, Billy Campbell, Thomas Gibson, Paul Gross, Barbara Garrick, Chloe Webb, Nina Foch, Parker Posey, Stanley DeSantis",1993,TV-MA,1 Season,8.466
53,Tales of the City (1993),TV Show, United States,Unknown,"Olympia Dukakis, Donald Moffat, Laura Linney, Marcus D'Amico, Billy Campbell, Thomas Gibson, Paul Gross, Barbara Garrick, Chloe Webb, Nina Foch, Parker Posey, Stanley DeSantis",1993,TV-MA,1 Season,8.466
54,This Is a Robbery: The World's Biggest Art Heist,TV Show,Unknown,Unknown,Unknown,2021,TV-MA,1 Season,8.43
55,The Adventures of Sonic the Hedgehog,TV Show,United States,Unknown,"Jaleel White, Long John Baldry, Garry Chalk",1993,TV-Y7,1 Season,8.419
56,The Adventures of Sonic the Hedgehog,TV Show, Canada,Unknown,"Jaleel White, Long John Baldry, Garry Chalk",1993,TV-Y7,1 Season,8.419
57,The Paper,TV Show,Croatia,Unknown,"Branka Katić, Trpimir Jurkic, Aleksandar Cvetković, Zijad Gračić, Olga Pakalović, Goran Markovic, Edita Karađole, Zdenko Jelcic, Tihana Lazovic, Mijo Jurišić, Dajana Čuljak, Alen Liverić, Anja Matković, Dragan Despot",2018,TV-MA,2 Seasons,8.413
58,The Spy,TV Show,France,Unknown,"Sacha Baron Cohen, Noah Emmerich, Hadar Ratzon Rotem, Alexander Siddig, Waleed Zuaiter, Nassim Lyes",2019,TV-MA,1 Season,8.405
59,Planet Earth: The Complete Collection,TV Show,United Kingdom,Alastair Fothergill,David Attenborough,2006,TV-PG,1 Season,8.4
60,AlRawabi School for Girls,TV Show,Jordan,Unknown,"Andria Tayeh, Rakeen Sa'ad, Noor Taher, Yara Mustafa, Joanna Arida, Salsabiela, Nadera Emran, Reem Saadeh",2021,TV-14,1 Season,8.4
61,Be with You,TV Show,Taiwan,Unknown,"Bobby Dou, Peijia Huang, Nylon Chen, Vivi Lee, Edison Wang, Serena Fang",2015,TV-14,1 Season,8.4
62,Autumn's Concerto,TV Show,Taiwan,Unknown,"Ady An, Vanness Wu, Ann Hsu, Wu Kang-ren, Xiao Xiao Bin",2009,TV-14,1 Season,8.4
63,Pokémon: Indigo League,TV Show,Japan,Unknown,"Rica Matsumoto, Ikue Otani, Mayumi Iizuka, Megumi Hayashibara, Unsho Ishizuka",2000,TV-Y7,1 Season,8.4
64,Spirit Riding Free: Riding Academy,TV Show,United States,Unknown,"Amber Frank, Bailey Gambertoglio, Sydney Park, Darcy Rose Byrnes, Rhys Darby",2020,TV-Y7,2 Seasons,8.4
65,Chappelle's Show,TV Show,United States,Unknown,Dave Chappelle,2005,TV-MA,2 Seasons,8.385
66,Singles Villa,TV Show,China,Unknown,"Joe Cheng, Lulu Xu, Jiro Wang, Viann Zhang, Han Chengyu",2015,TV-14,1 Season,8.377
67,The Road to Calvary,TV Show,Russia,Unknown,"Anna Chipovskaya, Yulia Snigir, Leonid Bichevin, Pavel Trubiner",2017,TV-14,1 Season,8.369
68,Halt and Catch Fire,TV Show,United States,Unknown,"Lee Pace, Scoot McNairy, Mackenzie Davis, Kerry Bishé, Toby Huss, Aleksa Palladino, David Wilson Barnes, Morgan Hinkleman, James Cromwell, Manish Dayal, Annabeth Gish",2017,TV-14,4 Seasons,8.364
69,The IT Crowd,TV Show,United Kingdom,Unknown,"Chris O'Dowd, Richard Ayoade, Katherine Parkinson, Matt Berry",2013,TV-MA,5 Seasons,8.363
