,Type,Title,Country,Release Year,Rating,Duration,Genres,Vote Average
31,MOVIE,Safety Last!,['US'],1923,Unknown,70,"['action', 'comedy', 'romance', 'thriller']",7.9
1510,MOVIE,Justice League: The Flashpoint Paradox,['US'],2013,PG-13,75,"['action', 'scifi', 'animation']",7.9
34,MOVIE,To Be or Not to Be,['US'],1942,G,99,"['comedy', 'european', 'romance', 'war']",7.898
1463,MOVIE,Gone Girl,['US'],2014,R,145,"['drama', 'thriller']",7.891
1290,MOVIE,Scooby-Doo! and the Samurai Sword,['US'],2009,G,74,['comedy'],7.878
950,MOVIE,The Notebook,['US'],2004,PG-13,123,"['romance', 'drama']",7.878
286,MOVIE,The Miracle Worker,['US'],1962,Unknown,106,['drama'],7.875
568,MOVIE,Tampopo,['JP'],1987,Unknown,114,['comedy'],7.868
2187,MOVIE,Batman and Superman: Battle of the Super Sons,['US'],2022,PG-13,79,"['scifi', 'animation', 'action']",7.867
1269,MOVIE,Scooby-Doo! and the Goblin King,['US'],2008,G,75,['comedy'],7.862
529,MOVIE,Dances with Wolves,"['US', 'GB']",1990,PG-13,181,"['action', 'drama', 'western']",7.86
1435,MOVIE,Scooby-Doo! Legend of the Phantosaur,['US'],2011,Unknown,75,['comedy'],7.851
2338,MOVIE,Romeo Santos: Utopia Live from MetLife Stadium,['PR'],2021,Unknown,103,"['music', 'romance']",7.851
576,MOVIE,Kiki's Delivery Service,['JP'],1989,G,103,"['animation', 'fantasy', 'drama', 'family']",7.845
2067,MOVIE,We Bare Bears: The Movie,['US'],2020,G,69,"['animation', 'fantasy', 'comedy', 'family']",7.837
175,MOVIE,Dog Day Afternoon,['US'],1975,R,125,"['drama', 'thriller', 'crime']",7.825
1532,MOVIE,The Normal Heart,['US'],2014,NC-17,124,"['drama', 'history', 'romance']",7.816
1618,MOVIE,Spotlight,"['CA', 'US']",2015,R,129,"['crime', 'drama']",7.813
1039,MOVIE,Something the Lord Made,['US'],2004,PG,110,['drama'],7.811
1096,MOVIE,George Carlin: It's Bad for Ya!,['US'],2008,R,70,"['comedy', 'documentation']",7.81
332,MOVIE,Through a Glass Darkly,['SE'],1961,Unknown,89,"['drama', 'european']",7.81
