,Type,Title,Country,Director,Cast,Release Year,Date Added,Rating,Duration,Genres,Vote Average
1373,TV Show,Señora Acero,"Mexico, United States",Unknown,"Blanca Soto, Litzy, Damián Alcázar, Marco Pérez, Jorge Zárate, Rossana San Juan, Andrés Palacios, Rebecca Jones, Lincoln Palomeque",2018,"April 28, 2019",TV-MA,5 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",7.444
1733,TV Show,The Adventures of Puss in Boots,United States,Unknown,"Eric Bauza, Jayma Mays, Grey DeLisle, Paul Rugg, Joshua Rush, Candi Milo, Laraine Newman",2018,"January 26, 2018",TV-Y7,6 Seasons,"Kids' TV, TV Comedies",7.434
276,TV Show,Creator's File: GOLD,Japan,Unknown,"Ryuji Akiyama, Ryusei Yokohama, Yumi Adachi, Ai Tominaga, Mei Nagano, Aki Yashiro, Kyary Pamyu Pamyu, Akira Nakao, Shino Ikenami, Joe Odagiri",2021,"June 3, 2021",TV-14,1 Season,"International TV Shows, TV Comedies",7.431
1782,TV Show,The Little Nyonya,Unknown,Unknown,"Jeanette Aw, Qi Yu Wu, Pierre Png, Dai Xiangyu, Zen Chong, Joanne Peh, Eelyn Kok, Xiang Yun, Yao Wenlong",2009,"November 1, 2017",TV-14,1 Season,"International TV Shows, TV Dramas",7.42
1697,TV Show,AMO,Philippines,Unknown,"Derek Ramsay, Vince Rillon, Allen Dizon, Felix Roco, Ruby Ruiz",2017,"April 9, 2018",TV-MA,1 Season,"International TV Shows, TV Dramas",7.417
234,TV Show,No Time for Shame,Argentina,Unknown,Santiago Artemis,2019,"June 19, 2021",TV-MA,1 Season,"International TV Shows, Reality TV, Spanish-Language TV Shows",7.416
1555,TV Show,Great News,United States,Unknown,"Briga Heelan, Andrea Martin, Adam Campbell, John Michael Higgins, Horatio Sanz, Nicole Richie",2017,"October 25, 2018",TV-14,2 Seasons,TV Comedies,7.412
323,TV Show,Barney and Friends,Unknown,Unknown,"Bob West, Julie Johnson, David Joyner, Jeff Ayers, Dean Wendt, Carey Stinson, Patty Wirtz, Emilio Mazur",2010,"May 1, 2021",TV-Y,2 Seasons,Kids' TV,7.41
1301,TV Show,Neon Genesis Evangelion,Japan,Unknown,"Megumi Ogata, Kotono Mitsuishi, Yuriko Yamaguchi, Megumi Hayashibara, Yuko Miyamura, Fumihiko Tachiki, Akira Ishida, Motomu Kiyokawa, Hiro Yuki, Miki Nagasawa, Takehito Koyasu, Tomokazu Seki, Tetsuya Iwanaga, Junko Iwao, Mugihito",1995,"June 21, 2019",TV-MA,1 Season,"Anime Series, International TV Shows",7.41
1954,TV Show,Masha's Spooky Stories,"United States, Russia",Unknown,Unknown,2012,"October 1, 2016",TV-Y,1 Season,Kids' TV,7.41
482,TV Show,Korean Pork Belly Rhapsody,Unknown,Unknown,Paik Jong-won,2020,"January 4, 2021",TV-G,1 Season,"Docuseries, International TV Shows",7.406
758,TV Show,In The Dark,United States,Unknown,"Perry Mattfeld, Brooke Markham, Casey Deidrick, Keston John, Morgan Krantz, Rich Sommer, Thamela Mpumlwana, Saycon Sengbloh, Kathleen York, Derek Webster",2020,"July 17, 2020",TV-14,2 Seasons,"Crime TV Shows, TV Dramas",7.401
1721,TV Show,Best Lover,"South Korea, China",Unknown,"Da-hae Lee, Zhou Mi, Wang Qiuzi, Kwang-hyun Park, Jia Zhengyu, Jeong-hak Park",2016,"February 23, 2018",TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",7.4
1296,TV Show,Forest of Piano,Japan,Unknown,"Soma Saito, Junichi Suwabe, Natsuki Hanae, Yuichi Nakamura, Kenn, Aoi Yuki, Mariya Ise, Katsuyuki Konishi, Toshiyuki Toyonaga, Koji Yusa, Hiroshi Yanaka, Ryoko Shiraishi, Yo Taichi, Marie Miyake, Ryo Hirohashi, Motoko Kumai, Maaya Sakamoto, Hideyuki Tanaka, Bin Shimada",2019,"June 24, 2019",TV-14,2 Seasons,"Anime Series, International TV Shows",7.4
1860,TV Show,28 Moons,South Korea,Unknown,"Jin-sung Yang, Kyu-jong Kim, Tae-hwan Kang, Geummi",2016,"June 10, 2017",TV-PG,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",7.4
2073,TV Show,Camp X,Canada,Unknown,Unknown,2014,"February 1, 2019",TV-MA,1 Season,Docuseries,7.4
546,TV Show,Gormiti,"Spain, Italy",Unknown,"Dermot Arrigan, Jenny Beacraft, Stephanie Figueira, Ella Galt, James Giblin, Noah Levin",2018,"December 1, 2020",TV-Y,1 Season,Kids' TV,7.4
536,TV Show,Mr. Iglesias,United States,Unknown,"Gabriel Iglesias, Sherri Shepherd, Jacob Vargas, Maggie Geha, Richard Gant, Cree Cicchino, Fabrizio Guido, Oscar Nuñez",2020,"December 8, 2020",TV-14,3 Seasons,"TV Comedies, Teen TV Shows",7.4
2054,TV Show,Blue Planet II,United Kingdom,Unknown,David Attenborough,2017,"December 3, 2018",TV-G,1 Season,"British TV Shows, Docuseries, Science & Nature TV",7.4
509,TV Show,Morphle,Netherlands,Unknown,Unknown,2020,"December 17, 2020",TV-Y,2 Seasons,"British TV Shows, Kids' TV",7.4
288,TV Show,Dirty John,United States,Unknown,"Connie Britton, Eric Bana, Juno Temple, Julia Garner, Jean Smart, Keiko Agena, Jeff Perry, Kevin Zegers, Jake Abel",2020,"May 31, 2021",TV-MA,2 Seasons,"Crime TV Shows, TV Dramas, TV Mysteries",7.4
1213,TV Show,Naruto,Japan,Hayato Date,"Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama, Kazuhiko Inoue, Toshihiko Seki, Hidekatsu Shibata, Masako Katsuki, Nana Mizuki",2006,"September 1, 2019",TV-14,9 Seasons,"Anime Series, International TV Shows",7.387
1206,TV Show,Top Boy,Unknown,Unknown,"Ashley Walters, Kane Robinson, Micheal Ward, Shone Romulus, Simbiatu Ajikawo, Lisa Dwan, David Omoregie, Jasmine Jobson, Hope Ikpoku Jr., Araloyin Oshunremi, Keiyon Cook",2019,"September 13, 2019",TV-MA,1 Season,"British TV Shows, Crime TV Shows, International TV Shows",7.384
