,Type,Title,Country,Director,Cast,Release Year,Date Added,Rating,Duration,Genres,Vote Average
4411,Movie,Hangman,United States,Johnny Martin,"Al Pacino, Karl Urban, Brittany Snow, Joe Anderson, Sarah Shahi, Sloane Warren, Chelle Ramos, Steve Coulter, Michael Rose",2017,"May 6, 2020",R,99 min,Thrillers,6.797
1931,Movie,Okafor's Law,Nigeria,Omoni Oboli,Unknown,2016,"December 13, 2019",TV-14,110 min,"Comedies, International Movies, Romantic Movies",6.794
5708,Movie,Tremors 4: The Legend Begins,United States,S.S. Wilson,"Michael Gross, Sara Botsford, Billy Drago, Brent Roam, August Schellenberg, J.E. Freeman, Ming Lo, Lydia Look, Sam Ly, Neil Kopit",2004,"January 1, 2020",PG-13,101 min,"Comedies, Horror Movies, Sci-Fi & Fantasy",6.792
1686,Movie,Kabhi Alvida Naa Kehna,India,Karan Johar,"Amitabh Bachchan, Shah Rukh Khan, Abhishek Bachchan, Rani Mukerji, Preity Zinta, Kiron Kher, Arjun Rampal",2006,"April 1, 2020",TV-14,192 min,"Dramas, International Movies, Romantic Movies",6.792
947,Movie,A Trash Truck Christmas,,Eddie Rosas,"Henry Keane, Glen Keane, Lucas Neff, Brian Baumgartner, Jackie Loeb, John DiMaggio",2020,"December 11, 2020",TV-Y,28 min,Children & Family Movies,6.79
2760,Movie,Delhi 6,India,Rakeysh Omprakash Mehra,"Abhishek Bachchan, Sonam Kapoor, Waheeda Rehman, Om Puri, Prem Chopra, Atul Kulkarni, Pavan Malhotra, Divya Dutta, Deepak Dobriyal, Sheeba Chaddha",2009,"October 1, 2018",TV-14,128 min,"Dramas, International Movies",6.789
4625,Movie,Killers,United States,Robert Luketic,"Katherine Heigl, Ashton Kutcher, Tom Selleck, Catherine O'Hara, Katheryn Winnick, Kevin Sussman, Lisa Ann Walter, Casey Wilson, Rob Riggle, Martin Mull, Alex Borstein",2010,"January 1, 2021",PG-13,100 min,"Action & Adventure, Comedies, Romantic Movies",6.788
2435,Movie,Quién te cantará,"Spain, France",Carlos Vermut,"Najwa Nimri, Eva Llorach, Carme Elias, Natalia de Molina, Julián Villagrán, Ignacio Mateos, Lorena Iglesias, Vicenta N'Dongo, Inma Cuevas, Per-Olav Sorensen",2018,"February 28, 2019",TV-MA,125 min,"Dramas, Independent Movies, International Movies",6.786
354,Movie,Red Joan,United Kingdom,Trevor Nunn,"Judi Dench, Sophie Cookson, Nina Sosanya, Tom Hughes, Tereza Srbová, Stephen Campbell Moore, Ben Miles, Freddie Gaminara, Robin Soans, Kevin Fuller",2019,"July 1, 2021",R,101 min,"Dramas, International Movies",6.784
113,Movie,The Nutty Professor II: The Klumps,,Peter Segal,"Eddie Murphy, Janet Jackson, Larry Miller, John Ales, Richard Gant, Anna Maria Horsford, Melinda McGraw, Jamal Mixon, Gabriel Williams, Chris Elliott",2000,"September 1, 2021",PG-13,107 min,"Comedies, Romantic Movies",6.784
2186,Movie,Colin Quinn: Red State Blue State,,Robert Moresco,Colin Quinn,2019,"August 9, 2019",TV-14,66 min,Stand-Up Comedy,6.781
157,Movie,A Faraway Land,,Veronica Velasco,"Paolo Contis, Yen Santos, Hans Tórgarð, Ruby Ruiz, Zweden Obias, Maria Rianne Castro, Arianne Mavis Uera, Maricor Canlas",2020,"August 19, 2021",TV-PG,102 min,"Dramas, International Movies, Romantic Movies",6.78
1120,Movie,Zozo,"Sweden, Czech Republic, United Kingdom, Denmark, Netherlands",Josef Fares,"Imad Creidi, Antoinette Turk, Elias Gergi, Carmen Lebbos, Viktor Axelsson, Charbel Iskandar, Yasmine Awad",2005,"October 19, 2020",TV-MA,99 min,"Dramas, International Movies",6.78
129,Movie,Kyo Kii... Main Jhuth Nahin Bolta,India,David Dhawan,"Govinda, Sushmita Sen, Rambha, Anupam Kher, Satish Kaushik, Sharad Kapoor, Kiran Kumar, Mohnish Bahl",2001,"August 27, 2021",TV-14,150 min,"Comedies, International Movies, Sci-Fi & Fantasy",6.779
2744,Movie,Death Race: Beyond Anarchy,"United States, Bulgaria",Don Michael Paul,"Zach McGowan, Danny Glover, Frederick Koehler, Danny Trejo, Christine Marzano, Cassie Clare, Yennis Cheung, Lucy Aarden",2017,"October 2, 2018",R,111 min,Action & Adventure,6.779
2873,Movie,Joker,India,Shirish Kunder,"Akshay Kumar, Sonakshi Sinha, Shreyas Talpade, Minissha Lamba, Pitobash, Darshan Jariwala, Alexx O'Nell, Asrani, Sanjay Mishra, Vrijesh Hirjee",2012,"August 2, 2018",TV-PG,98 min,"Comedies, International Movies, Music & Musicals",6.779
2545,Movie,Bill Hicks: Sane Man,United States,"Kevin Booth, David Johndrow",Bill Hicks,1989,"December 31, 2018",TV-MA,81 min,Stand-Up Comedy,6.778
846,Movie,The Shadow of Violence,"United Kingdom, Ireland",Nick Rowland,"Cosmo Jarvis, Barry Keoghan, Niamh Algar, Ned Dennehy, Kiljan Tyr Moroney, David Wilmot, Brid Brennan, Simone Kirby, Anthony Welsh",2020,"January 21, 2021",R,101 min,Dramas,6.778
1018,Movie,Bodyguard,India,Siddique,"Salman Khan, Kareena Kapoor, Raj Babbar, Asrani, Vidya Sinha, Hazel Keech, Chetan Hansraj, Salim Baig",2011,"November 19, 2020",TV-14,130 min,"Action & Adventure, Comedies, International Movies",6.777
3511,Movie,Divines,"France, Qatar",Houda Benyamina,"Déborah Lukumuena, Jisca Kalvanda, Kévin Mischel, Majdouline Idrissi, Oulaya Amamra, Yasin Houicha",2016,"November 18, 2016",TV-MA,107 min,"Dramas, Independent Movies, International Movies",6.776
5003,Movie,Pareeth Pandaari,India,Gafoor Y. Elliyaas,"Kalabhavan Shajohn, Sajitha Madathil, Jaffer Idukki, Sunil Sukhada, Joy Mathew, Ansiba",2017,"July 1, 2018",TV-PG,109 min,"Dramas, Independent Movies, International Movies",6.776
133,Movie,Once Upon a Time in Mumbai Dobaara!,India,Milan Luthria,"Akshay Kumar, Imran Khan, Sonakshi Sinha, Sonali Bendre, Sarfaraz Khan, Mahesh Manjrekar, Abhimanyu Singh, Kurush Deboo, Pitobash, Chetan Hansraj",2013,"August 27, 2021",TV-14,142 min,"Dramas, International Movies, Music & Musicals",6.775
2290,Movie,ReMastered: The Lion's Share,,Sam Cullman,Unknown,2019,"May 17, 2019",TV-14,84 min,"Documentaries, Music & Musicals",6.774
