,Type,Title,Country,Director,Cast,Release Year,Rating,Duration,Genres,Vote Average
905,TV Show,Armed Girl's Machiavellism,JP,Unknown,Unknown,2017,TV-14,1 Season,"Action, Adventure, Anime",7.9
215,TV Show,The Adventures of Tintin,CA,Unknown,Unknown,2019,7+,3 Seasons,"Action, Animation, Kids",7.884
382,TV Show,Pinkfong! Time Songs,GB,Unknown,Unknown,2017,ALL,1 Season,"Animation, Kids",7.867
764,TV Show,Dark Shadows: The Beginning,US,Unknown,"Joan Bennett, Mitchell Ryan, Louis Edmonds, Nancy Barrett, Joel Crothers, Alexandra Isles, Kathryn Leigh Scott, Dana Elcar, David Henesy, Thayer David, Conard Fowkes, Hugh Franklin, Clarice Blackburn, John Karlen",1967,TV-PG,6 Seasons,"Drama, Science Fiction",7.865
1250,TV Show,Junichi,JP,Unknown,"Jun Shison, Mina Fujii, Mieko Harada",2019,13+,1 Season,"Drama, Romance",7.861
1249,TV Show,S.O.Z: Soldiers or Zombies,ES,Unknown,"Sergio Peris-Mencheta, Horacio García-Rojas, Toby Schmitz, Fátima Molina, Steve Wilcox, James Moses Black",2021,16+,1 Season,Suspense,7.861
1176,TV Show,El Cid,ES,Unknown,Unknown,2021,16+,2 Seasons,Drama,7.857
1175,TV Show,Heroes Never Die The Miniseries,US,Unknown,"Vyacheslav Dovzhenko, Roman Yasinovskiy, Andrey Isaenko, Viktor Zhdanov, Makar Tikhomirov",2017,TV-14,1 Season,"Action, Drama",7.857
1221,TV Show,Gourmet in Tang Dynasty,CN,Unknown,"Zixuan Li, Runnan Liu",2021,18+,1 Season,TV Shows,7.836
1225,TV Show,Funny Little Stories,PT,Unknown,Unknown,2021,16+,1 Season,Comedy,7.836
1228,TV Show,"Thomas & Friends 18, 19, 20, 21",GB,Unknown,Joseph May,2017,TV-Y,4 Seasons,"Animation, Kids",7.836
1364,TV Show,"Do, Re & Mi",US,Unknown,"Jackie Tohn, Kristen Bell, Luke Youngblood",2021,NR,2 Seasons,"Animation, Anime, Kids",7.829
1409,TV Show,When Hope Calls,US,Unknown,"Morgan Kohan, Jocelyn Hudon, Ryan-James Hatanaka, Greg Hovanessian, Hanneke Talbot, Jefferson Brown",2019,TV-G,1 Season,Drama,7.819
1286,TV Show,The Secret of Crickley Hall,GB,Unknown,"Suranne Jones, Tom Ellis, Douglas Henshall, David Warner, Sarah Smart, Iain De Caestecker, Donald Sumpter",2012,16+,1 Season,"Drama, Horror",7.806
515,TV Show,Love and Redemption,CN,Unknown,"Cheng Yi, Yuan BingYan, Liu XueYi",2020,13+,1 Season,"Drama, Romance",7.8
