,Type,Title,Country,Release Year,Rating,Seasons,Genres,Vote Average
130,SHOW,The Grim Adventures of Billy and Mandy,['US'],2001,TV-Y7,7.0,"['comedy', 'animation', 'horror', 'family', 'fantasy']",8.053
409,SHOW,We Are Who We Are,['US'],2020,TV-MA,1.0,['drama'],8.043
332,SHOW,Ghosts,['GB'],2019,TV-14,4.0,"['comedy', 'scifi', 'fantasy']",8.03
284,SHOW,Titans,['US'],2018,TV-MA,4.0,"['action', 'scifi', 'drama', 'fantasy', 'crime']",8.028
95,SHOW,Carnivàle,['US'],2003,TV-MA,2.0,"['scifi', 'thriller', 'drama', 'fantasy']",8.026
90,SHOW,Pretty Little Liars,['US'],2010,TV-14,7.0,"['drama', 'thriller', 'romance']",8.024
240,SHOW,The Jinx: The Life and Deaths of Robert Durst,['US'],2015,TV-MA,1.0,"['documentation', 'crime']",8.021
358,SHOW,Smiling Friends,['US'],2020,TV-MA,1.0,"['animation', 'comedy']",8.02
127,SHOW,Treme,['US'],2010,TV-MA,4.0,"['drama', 'music']",8.011
346,SHOW,Pennyworth: The Origin of Batman's Butler,['US'],2019,TV-MA,3.0,"['drama', 'action', 'crime']",8.004
160,SHOW,The Alzheimer's Project,['US'],2009,TV-PG,1.0,['documentation'],8.0
165,SHOW,Kindergarten,['US'],2001,Unknown,1.0,"['documentation', 'animation', 'reality']",8.0
168,SHOW,Sons of Carnaval,['BR'],2006,Unknown,2.0,['drama'],8.0
73,SHOW,Boardwalk Empire,['US'],2010,TV-MA,5.0,"['drama', 'history', 'crime']",8.0
564,SHOW,On the Job,['PH'],2021,Unknown,1.0,"['action', 'drama']",8.0
356,SHOW,Gentleman Jack,['US'],2019,TV-MA,2.0,"['drama', 'history', 'romance']",8.0
576,SHOW,Fixer Upper: Welcome Home,['US'],2021,TV-G,1.0,['reality'],8.0
269,SHOW,Long Live the Royals,['US'],2015,TV-PG,1.0,"['animation', 'comedy', 'family']",8.0
468,SHOW,Winning Time: The Rise of the Lakers Dynasty,['US'],2022,TV-MA,2.0,"['comedy', 'drama', 'sport']",8.0
326,SHOW,Impractical Jokers: After Party,['US'],2017,TV-14,4.0,"['reality', 'comedy']",8.0
299,SHOW,On the Spectrum,['IL'],2018,TV-MA,1.0,"['comedy', 'drama']",8.0
177,SHOW,The Looney Tunes Show,['US'],2011,TV-PG,2.0,"['animation', 'family', 'comedy']",8.0
262,SHOW,Magnifica 70,['BR'],2015,Unknown,3.0,['drama'],8.0
116,SHOW,Moral Orel,['US'],2005,TV-MA,4.0,"['comedy', 'drama', 'animation']",8.0
