,Type,Title,Country,Release Year,Rating,Seasons,Genres,Vote Average
607,SHOW,Irina Rimes: On My Way,['RO'],2022,TV-MA,1.0,['documentation'],5.0
450,SHOW,Low Country: The Murdaugh Dynasty,['US'],2022,TV-MA,1.0,"['documentation', 'crime']",5.0
321,SHOW,Total DramaRama,['CA'],2018,TV-Y7,3.0,"['animation', 'comedy', 'family']",5.0
535,SHOW,Level Playing Field,['US'],2021,TV-14,1.0,"['documentation', 'sport']",5.0
443,SHOW,Food Lore,['SG'],2019,Unknown,1.0,[],5.0
263,SHOW,The Powerpuff Girls,['US'],2016,TV-Y7,3.0,"['action', 'family', 'animation', 'fantasy', 'scifi', 'thriller', 'comedy']",4.865
558,SHOW,Menudo: Forever Young,['US'],2022,TV-MA,1.0,"['documentation', 'music']",4.7
236,SHOW,Head Over Heels,['CZ'],2014,Unknown,2.0,"['comedy', 'romance', 'european']",4.5
532,SHOW,Not So Pretty,['US'],2022,TV-14,1.0,['documentation'],4.5
481,SHOW,The Big Brunch,['US'],2022,TV-MA,1.0,['reality'],4.5
318,SHOW,The Jellies,['US'],2017,TV-MA,2.0,"['animation', 'comedy']",4.5
536,SHOW,Game Theory with Bomani Jones,['US'],2022,TV-MA,2.0,"['sport', 'comedy']",4.3
495,SHOW,Tom Swift,['US'],2022,TV-14,1.0,['drama'],4.2
150,SHOW,Funny or Die Presents,['US'],2010,TV-MA,3.0,['comedy'],4.0
245,SHOW,Sex Diaries,['US'],2015,Unknown,1.0,"['documentation', 'reality']",4.0
602,SHOW,El gran sarao,['ES'],2022,Unknown,1.0,['reality'],4.0
560,SHOW,Chillin Island,['US'],2021,TV-MA,1.0,"['comedy', 'reality']",4.0
57,SHOW,The Chris Rock Show,['US'],1997,TV-MA,4.0,"['comedy', 'music']",4.0
316,SHOW,Maine Cabin Masters,['US'],2017,TV-PG,8.0,['reality'],3.7
410,SHOW,Singletown,['GB'],2019,Unknown,1.0,"['reality', 'romance']",3.5
618,SHOW,Velma,['US'],2023,TV-MA,1.0,"['comedy', 'crime', 'animation']",3.399
523,SHOW,Hostages,['US'],2022,TV-MA,1.0,"['documentation', 'history']",3.0
56,SHOW,HBO Comedy Half Hour,['US'],1995,Unknown,5.0,"['comedy', 'documentation']",3.0
530,SHOW,Fast Foodies,['US'],2021,TV-14,2.0,['reality'],3.0
164,SHOW,Dane Cook's Tourgasm,['US'],2006,TV-MA,1.0,"['comedy', 'documentation']",3.0
555,SHOW,Who's Talking to Chris Wallace?,['US'],2022,TV-MA,1.0,[],3.0
572,SHOW,Teenage Euthanasia,['US'],2021,TV-14,2.0,"['animation', 'comedy', 'fantasy']",2.5
221,SHOW,Blippi,['US'],2014,TV-Y7,3.0,['family'],2.0
492,SHOW,Branson,['US'],2022,TV-14,1.0,['documentation'],2.0
562,SHOW,Take Out with Lisa Ling,['US'],2022,TV-PG,1.0,['documentation'],2.0
606,SHOW,Lellobee City Farm,['US'],2022,TV-Y,1.0,['animation'],2.0
541,SHOW,Brené Brown: Atlas of the Heart,['US'],2022,Unknown,1.0,['documentation'],2.0
568,SHOW,Mecha Builders,['US'],2022,TV-Y,1.0,['animation'],2.0
415,SHOW,12 Dates of Christmas,['US'],2020,TV-MA,2.0,['reality'],2.0
594,SHOW,Blippi Wonders,['US'],2021,TV-Y,1.0,"['animation', 'family']",1.583
598,SHOW,Inn the Works,['US'],2021,Unknown,1.0,['reality'],1.0
469,SHOW,Family Dinner,['US'],2022,TV-G,3.0,"['reality', 'comedy', 'drama']",1.0
586,SHOW,Through Our Eyes,['US'],2021,TV-PG,1.0,['documentation'],1.0
